cov;id;i;o;p;it;DS;HS
0;0.1;5;4;2;1;0.3;0.071432049
0;0.1;5;4;2;2;0.25;-0.091246564
0;0.1;5;4;2;3;0.05;-0.234125887
0;0.1;5;4;2;4;0.35;0.246262853
0;0.1;5;4;2;5;0.05;-0.234596448
0;0.1;5;4;2;6;0.2;0.035927999
0;0.1;5;4;2;7;0.25;-0.047300853
0;0.1;5;4;2;8;0.3;0.348410698
0;0.1;5;4;2;9;0.25;-0.053660153
0;0.1;5;4;2;10;0.2;0.111247634
0;0.1;5;4;4;1;0.1;-0.213619101
0;0.1;5;4;4;2;0.2;0.101015891
0;0.1;5;4;4;3;0.05;-0.344109631
0;0.1;5;4;4;4;0.1;-0.19523097
0;0.1;5;4;4;5;0.3;0.069935454
0;0.1;5;4;4;6;0.25;-0.185282364
0;0.1;5;4;4;7;0.4;0.526320453
0;0.1;5;4;4;8;0.2;0.044000414
0;0.1;5;4;4;9;0.05;-0.108558252
0;0.1;5;4;4;10;0.25;0.193574666
0;0.1;5;4;6;1;0.25;-0.044491645
0;0.1;5;4;6;2;0.3;1.131787079
0;0.1;5;4;6;3;0.15;0.413332813
0;0.1;5;4;6;4;0.15;-0.17302183
0;0.1;5;4;6;5;0.15;-0.096537574
0;0.1;5;4;6;6;0.25;-0.004887067
0;0.1;5;4;6;7;0.35;0.079671573
0;0.1;5;4;6;8;0.25;0.108588201
0;0.1;5;4;6;9;0.1;0.145061452
0;0.1;5;4;6;10;0;-0.382460334
0;0.1;5;4;8;1;0.3;1.253747911
0;0.1;5;4;8;2;0.3;0.712574679
0;0.1;5;4;8;3;0.25;-0.263107205
0;0.1;5;4;8;4;0.35;0.398803524
0;0.1;5;4;8;5;0.1;0.111732128
0;0.1;5;4;8;6;0.2;-0.433388834
0;0.1;5;4;8;7;0.05;0.639013289
0;0.1;5;4;8;8;0.25;0.114542672
0;0.1;5;4;8;9;0.15;-0.390304797
0;0.1;5;4;8;10;0.35;-0.125671106
0;0.1;5;4;10;1;0.15;0.604932464
0;0.1;5;4;10;2;0.2;0.289727062
0;0.1;5;4;10;3;0.2;0.70552054
0;0.1;5;4;10;4;0.2;0.037782111
0;0.1;5;4;10;5;0.15;-0.593709355
0;0.1;5;4;10;6;0.2;1.04040796
0;0.1;5;4;10;7;0.35;0.349801114
0;0.1;5;4;10;8;0.25;-0.022667622
0;0.1;5;4;10;9;0.2;0.157926249
0;0.1;5;4;10;10;0.1;-0.617707676
0;0.1;5;8;2;1;0.175;0.145716379
0;0.1;5;8;2;2;0.375;0.408548209
0;0.1;5;8;2;3;0.225;0.041752953
0;0.1;5;8;2;4;0.125;-0.100436782
0;0.1;5;8;2;5;0.325;0.07469077
0;0.1;5;8;2;6;0.175;-0.065503963
0;0.1;5;8;2;7;0.2;0.094772335
0;0.1;5;8;2;8;0.35;0.516455843
0;0.1;5;8;2;9;0.225;0.004500183
0;0.1;5;8;2;10;0.25;0.037973109
0;0.1;5;8;4;1;0.325;0.151612682
0;0.1;5;8;4;2;0.45;0.654338353
0;0.1;5;8;4;3;0.1;-0.183590011
0;0.1;5;8;4;4;0.15;0.119295571
0;0.1;5;8;4;5;0.2;0.170058135
0;0.1;5;8;4;6;0.35;0.087560694
0;0.1;5;8;4;7;0.175;-0.145709594
0;0.1;5;8;4;8;0.225;-0.034523794
0;0.1;5;8;4;9;0.1;-0.092836278
0;0.1;5;8;4;10;0.175;-0.026009235
0;0.1;5;8;6;1;0.025;-0.204849728
0;0.1;5;8;6;2;0.1;0.146404092
0;0.1;5;8;6;3;0.325;0.347412774
0;0.1;5;8;6;4;0.15;-0.136317035
0;0.1;5;8;6;5;0.2;0.120960655
0;0.1;5;8;6;6;0.2;0.223677386
0;0.1;5;8;6;7;0.1;-0.077528727
0;0.1;5;8;6;8;0.125;-0.051413824
0;0.1;5;8;6;9;0.375;0.333435948
0;0.1;5;8;6;10;0.275;0.394937925
0;0.1;5;8;8;1;0.325;0.610630159
0;0.1;5;8;8;2;0.025;-0.197634255
0;0.1;5;8;8;3;0.25;0.11258152
0;0.1;5;8;8;4;0.15;0.156160425
0;0.1;5;8;8;5;0.1;-0.27238097
0;0.1;5;8;8;6;0.225;0.454184688
0;0.1;5;8;8;7;0.25;0.029504362
0;0.1;5;8;8;8;0.225;0.092736453
0;0.1;5;8;8;9;0.325;0.500151826
0;0.1;5;8;8;10;0.225;0.22704015
0;0.1;5;8;10;1;0.2;0.214663261
0;0.1;5;8;10;2;0.175;-0.06161757
0;0.1;5;8;10;3;0.1;-0.332070734
0;0.1;5;8;10;4;0.15;-0.080050299
0;0.1;5;8;10;5;0.2;0.084053189
0;0.1;5;8;10;6;0.25;-0.004766176
0;0.1;5;8;10;7;0.15;0.03885694
0;0.1;5;8;10;8;0.25;-0.021434159
0;0.1;5;8;10;9;0.25;0.066326266
0;0.1;5;8;10;10;0.15;-0.019567533
0;0.1;5;12;2;1;0.316666667;0.066317089
0;0.1;5;12;2;2;0.1;-0.065299391
0;0.1;5;12;2;3;0.166666667;-0.031119871
0;0.1;5;12;2;4;0.316666667;0.311665922
0;0.1;5;12;2;5;0.233333333;0.073234495
0;0.1;5;12;2;6;0.3;0.200862307
0;0.1;5;12;2;7;0.05;-0.071580512
0;0.1;5;12;2;8;0.1;-0.000412858
0;0.1;5;12;2;9;0.2;-0.015868334
0;0.1;5;12;2;10;0.083333333;-0.106470735
0;0.1;5;12;4;1;0.233333333;-0.000470311
0;0.1;5;12;4;2;0.166666667;-0.045127035
0;0.1;5;12;4;3;0.133333333;0.009469219
0;0.1;5;12;4;4;0.266666667;0.115998067
0;0.1;5;12;4;5;0.25;0.124764067
0;0.1;5;12;4;6;0.183333333;-0.010587505
0;0.1;5;12;4;7;0.183333333;0.082394634
0;0.1;5;12;4;8;0.233333333;0.122098977
0;0.1;5;12;4;9;0.3;0.085036223
0;0.1;5;12;4;10;0.166666667;0.020652379
0;0.1;5;12;6;1;0.166666667;-0.064343619
0;0.1;5;12;6;2;0.133333333;-0.021415411
0;0.1;5;12;6;3;0.2;0.008290293
0;0.1;5;12;6;4;0.283333333;0.19100599
0;0.1;5;12;6;5;0.233333333;0.058462261
0;0.1;5;12;6;6;0.233333333;0.042541913
0;0.1;5;12;6;7;0.216666667;0.06073482
0;0.1;5;12;6;8;0.3;0.311915415
0;0.1;5;12;6;9;0.166666667;0.079243211
0;0.1;5;12;6;10;0.133333333;-0.053932504
0;0.1;5;12;8;1;0.15;-0.081184698
0;0.1;5;12;8;2;0.266666667;-0.051450388
0;0.1;5;12;8;3;0.25;0.041082066
0;0.1;5;12;8;4;0.166666667;-0.03341234
0;0.1;5;12;8;5;0.166666667;-0.1607909
0;0.1;5;12;8;6;0.2;0.039905651
0;0.1;5;12;8;7;0.233333333;-0.047127952
0;0.1;5;12;8;8;0.2;0.034644857
0;0.1;5;12;8;9;0.216666667;-0.042362903
0;0.1;5;12;8;10;0.15;0.042947691
0;0.1;5;12;10;1;0.166666667;-0.076963766
0;0.1;5;12;10;2;0.183333333;0.036141695
0;0.1;5;12;10;3;0.166666667;-0.016973273
0;0.1;5;12;10;4;0.25;-0.089905551
0;0.1;5;12;10;5;0.183333333;0.100699808
0;0.1;5;12;10;6;0.2;0.047847484
0;0.1;5;12;10;7;0.166666667;0.080914139
0;0.1;5;12;10;8;0.25;0.234857494
0;0.1;5;12;10;9;0.25;0.063599594
0;0.1;5;12;10;10;0.25;0.115971697
0;0.1;5;16;2;1;0.1875;0.010913477
0;0.1;5;16;2;2;0.2375;0.001335357
0;0.1;5;16;2;3;0.15;0.030253844
0;0.1;5;16;2;4;0.2625;0.055782616
0;0.1;5;16;2;5;0.1875;0.030578217
0;0.1;5;16;2;6;0.2625;0.067040728
0;0.1;5;16;2;7;0.275;0.050313856
0;0.1;5;16;2;8;0.225;0.031215991
0;0.1;5;16;2;9;0.175;0.00301571
0;0.1;5;16;2;10;0.175;-0.015364833
0;0.1;5;16;4;1;0.2;-0.012339863
0;0.1;5;16;4;2;0.2375;0.059258579
0;0.1;5;16;4;3;0.225;-0.019904049
0;0.1;5;16;4;4;0.2125;0.027137548
0;0.1;5;16;4;5;0.3;0.083819823
0;0.1;5;16;4;6;0.175;-0.058559741
0;0.1;5;16;4;7;0.2125;-0.018301049
0;0.1;5;16;4;8;0.2125;-0.079570535
0;0.1;5;16;4;9;0.1875;-0.005160301
0;0.1;5;16;4;10;0.225;0.103580936
0;0.1;5;16;6;1;0.3;0.210016563
0;0.1;5;16;6;2;0.2125;0.088454645
0;0.1;5;16;6;3;0.15;-0.036248969
0;0.1;5;16;6;4;0.1625;-0.103032759
0;0.1;5;16;6;5;0.175;-0.03061914
0;0.1;5;16;6;6;0.275;0.125189846
0;0.1;5;16;6;7;0.2625;0.073936998
0;0.1;5;16;6;8;0.2625;0.000342754
0;0.1;5;16;6;9;0.2875;0.142297811
0;0.1;5;16;6;10;0.2125;-0.0270378
0;0.1;5;16;8;1;0.2625;0.064816636
0;0.1;5;16;8;2;0.275;0.153561951
0;0.1;5;16;8;3;0.225;0.069249348
0;0.1;5;16;8;4;0.2;0.016539828
0;0.1;5;16;8;5;0.1625;-0.064607025
0;0.1;5;16;8;6;0.3;0.111269354
0;0.1;5;16;8;7;0.2375;0.016195707
0;0.1;5;16;8;8;0.1875;0.109501193
0;0.1;5;16;8;9;0.1125;-0.126845077
0;0.1;5;16;8;10;0.3;0.163426745
0;0.1;5;16;10;1;0.2625;0.122805681
0;0.1;5;16;10;2;0.2125;0.013202634
0;0.1;5;16;10;3;0.2375;-0.029401791
0;0.1;5;16;10;4;0.2125;0.128112363
0;0.1;5;16;10;5;0.1625;-0.057400893
0;0.1;5;16;10;6;0.3;0.165172603
0;0.1;5;16;10;7;0.225;-0.03007888
0;0.1;5;16;10;8;0.25;0.113074881
0;0.1;5;16;10;9;0.175;-0.103150987
0;0.1;5;16;10;10;0.15;-0.027989905
0;0.1;5;20;2;1;0.29;0.038109821
0;0.1;5;20;2;2;0.21;3.65E-05
0;0.1;5;20;2;3;0.14;-0.018177725
0;0.1;5;20;2;4;0.19;0.006186492
0;0.1;5;20;2;5;0.15;-0.04192319
0;0.1;5;20;2;6;0.18;-0.018881618
0;0.1;5;20;2;7;0.27;0.10476879
0;0.1;5;20;2;8;0.25;0.035727545
0;0.1;5;20;2;9;0.11;0.011071183
0;0.1;5;20;2;10;0.21;0.025436582
0;0.1;5;20;4;1;0.18;-0.008712866
0;0.1;5;20;4;2;0.27;0.040824789
0;0.1;5;20;4;3;0.21;0.092741524
0;0.1;5;20;4;4;0.16;0.021575769
0;0.1;5;20;4;5;0.15;-0.009371226
0;0.1;5;20;4;6;0.15;-0.02089415
0;0.1;5;20;4;7;0.28;0.029449145
0;0.1;5;20;4;8;0.24;-0.026744612
0;0.1;5;20;4;9;0.19;-0.009643038
0;0.1;5;20;4;10;0.24;0.021473984
0;0.1;5;20;6;1;0.22;-0.005860029
0;0.1;5;20;6;2;0.27;0.027351367
0;0.1;5;20;6;3;0.26;0.102570921
0;0.1;5;20;6;4;0.22;0.064620278
0;0.1;5;20;6;5;0.26;0.090200621
0;0.1;5;20;6;6;0.21;0.007734857
0;0.1;5;20;6;7;0.23;0.078638155
0;0.1;5;20;6;8;0.27;0.081502055
0;0.1;5;20;6;9;0.18;-0.055032002
0;0.1;5;20;6;10;0.27;0.106748307
0;0.1;5;20;8;1;0.21;0.066911254
0;0.1;5;20;8;2;0.17;0.003715034
0;0.1;5;20;8;3;0.26;0.130524614
0;0.1;5;20;8;4;0.23;0.046889942
0;0.1;5;20;8;5;0.21;-0.046022371
0;0.1;5;20;8;6;0.27;0.126350913
0;0.1;5;20;8;7;0.17;-0.033651677
0;0.1;5;20;8;8;0.22;0.004252668
0;0.1;5;20;8;9;0.24;0.074367793
0;0.1;5;20;8;10;0.24;0.056072748
0;0.1;5;20;10;1;0.12;-0.105566333
0;0.1;5;20;10;2;0.26;0.058708634
0;0.1;5;20;10;3;0.27;0.010988436
0;0.1;5;20;10;4;0.29;0.126808397
0;0.1;5;20;10;5;0.26;0.054201383
0;0.1;5;20;10;6;0.23;0.005694782
0;0.1;5;20;10;7;0.28;0.120096875
0;0.1;5;20;10;8;0.27;0.149646468
0;0.1;5;20;10;9;0.24;0.042141654
0;0.1;5;20;10;10;0.23;0.118039224
0;0.1;10;4;2;1;0.075;-0.102033536
0;0.1;10;4;2;2;0.1;0.087287097
0;0.1;10;4;2;3;0.05;-0.098145742
0;0.1;10;4;2;4;0.175;-0.087419212
0;0.1;10;4;2;5;0.175;0.01024182
0;0.1;10;4;2;6;0.125;0.067003012
0;0.1;10;4;2;7;0.225;0.037119528
0;0.1;10;4;2;8;0.1;0.071857098
0;0.1;10;4;2;9;0.125;0.267440388
0;0.1;10;4;2;10;0.1;0.300020938
0;0.1;10;4;4;1;0.075;-0.12565636
0;0.1;10;4;4;2;0.1;-0.079895778
0;0.1;10;4;4;3;0.2;0.246621598
0;0.1;10;4;4;4;0.15;0.144987392
0;0.1;10;4;4;5;0.125;0.039289781
0;0.1;10;4;4;6;0.1;0.352693595
0;0.1;10;4;4;7;0.125;0.284791386
0;0.1;10;4;4;8;0.05;0.120014991
0;0.1;10;4;4;9;0.125;0.265734501
0;0.1;10;4;4;10;0.075;0.397868269
0;0.1;10;4;6;1;0.1;0.117236204
0;0.1;10;4;6;2;0.05;0.012508743
0;0.1;10;4;6;3;0.125;0.298168338
0;0.1;10;4;6;4;0.1;0.317729815
0;0.1;10;4;6;5;0.025;0.040520009
0;0.1;10;4;6;6;0.05;0.105924876
0;0.1;10;4;6;7;0.15;0.020166431
0;0.1;10;4;6;8;0.05;-0.11441991
0;0.1;10;4;6;9;0.1;-0.019781231
0;0.1;10;4;6;10;0.15;0.388129764
0;0.1;10;4;8;1;0.05;0.289839969
0;0.1;10;4;8;2;0.125;0.237475738
0;0.1;10;4;8;3;0.075;-0.479389642
0;0.1;10;4;8;4;0.075;-0.143439885
0;0.1;10;4;8;5;0.15;0.434963645
0;0.1;10;4;8;6;0.05;-0.018574179
0;0.1;10;4;8;7;0.15;0.12372166
0;0.1;10;4;8;8;0.275;0.705435688
0;0.1;10;4;8;9;0.05;0.059228207
0;0.1;10;4;8;10;0.1;0.474471639
0;0.1;10;4;10;1;0.05;-0.197412278
0;0.1;10;4;10;2;0.025;-0.271170001
0;0.1;10;4;10;3;0.05;0.162303198
0;0.1;10;4;10;4;0.15;0.381126227
0;0.1;10;4;10;5;0.075;-0.008891505
0;0.1;10;4;10;6;0.1;0.156429158
0;0.1;10;4;10;7;0.075;-0.019750472
0;0.1;10;4;10;8;0.125;0.385195115
0;0.1;10;4;10;9;0.175;0.805308607
0;0.1;10;4;10;10;0.05;-0.03192098
0;0.1;10;8;2;1;0.1125;0.052857142
0;0.1;10;8;2;2;0.125;0.066809515
0;0.1;10;8;2;3;0.0875;-0.05544702
0;0.1;10;8;2;4;0.1;0.098401201
0;0.1;10;8;2;5;0.125;0.046592317
0;0.1;10;8;2;6;0.0875;0.074272554
0;0.1;10;8;2;7;0.1125;0.023178828
0;0.1;10;8;2;8;0.1;-0.01726646
0;0.1;10;8;2;9;0.0625;0.003684135
0;0.1;10;8;2;10;0.0625;-0.032853984
0;0.1;10;8;4;1;0.0875;0.062209333
0;0.1;10;8;4;2;0.125;-0.015633512
0;0.1;10;8;4;3;0.05;-0.103619677
0;0.1;10;8;4;4;0.125;0.008102113
0;0.1;10;8;4;5;0.0875;0.007287967
0;0.1;10;8;4;6;0.1;-0.123070992
0;0.1;10;8;4;7;0.1125;0.134739362
0;0.1;10;8;4;8;0.1375;0.057856747
0;0.1;10;8;4;9;0.0875;0.012467687
0;0.1;10;8;4;10;0.1875;-0.006272355
0;0.1;10;8;6;1;0.075;0.149742117
0;0.1;10;8;6;2;0.15;0.150758637
0;0.1;10;8;6;3;0.075;0.200110094
0;0.1;10;8;6;4;0.05;-0.261113233
0;0.1;10;8;6;5;0.1125;-0.00939886
0;0.1;10;8;6;6;0.1;0.070057802
0;0.1;10;8;6;7;0.15;0.251988721
0;0.1;10;8;6;8;0.15;0.171474404
0;0.1;10;8;6;9;0.1875;0.188837443
0;0.1;10;8;6;10;0.125;-0.086753165
0;0.1;10;8;8;1;0.0875;0.073426218
0;0.1;10;8;8;2;0.1375;0.026733793
0;0.1;10;8;8;3;0.0875;0.128454118
0;0.1;10;8;8;4;0.1125;0.097810775
0;0.1;10;8;8;5;0.0875;-0.184533903
0;0.1;10;8;8;6;0.075;-0.00226302
0;0.1;10;8;8;7;0.125;0.19933205
0;0.1;10;8;8;8;0.1375;0.181478464
0;0.1;10;8;8;9;0.0375;-0.024560999
0;0.1;10;8;8;10;0.1125;0.075959354
0;0.1;10;8;10;1;0.1375;-0.11470964
0;0.1;10;8;10;2;0.1125;0.022782948
0;0.1;10;8;10;3;0.1375;0.297817236
0;0.1;10;8;10;4;0.1;0.04849438
0;0.1;10;8;10;5;0.0875;0.152773183
0;0.1;10;8;10;6;0.1125;0.175452354
0;0.1;10;8;10;7;0.1;-0.13209168
0;0.1;10;8;10;8;0.125;0.017801766
0;0.1;10;8;10;9;0.0875;0.353697611
0;0.1;10;8;10;10;0.0875;-0.055792488
0;0.1;10;12;2;1;0.116666667;0.012474613
0;0.1;10;12;2;2;0.133333333;0.015273126
0;0.1;10;12;2;3;0.091666667;-0.046254921
0;0.1;10;12;2;4;0.125;-0.05302531
0;0.1;10;12;2;5;0.1;-0.022257846
