id;i;o;parmean;Pvalue;PIC3;PIC4;Fvalue;PICbwtotal;PICbwmeans;HSngroups;HSntot;HSnpergroup;HSvarcomp
0.01;5;4;980.9148798;0.90832879;0.263452028;0.976546679;0.244840287;1.024771207;0.276462005;-0.118108911;-0.027764151;-0.150926265;0
0.01;5;4;981.5677595;0.429888495;0.551632154;1.095939139;1.017050165;1.15005959;0.578873248;0.002455634;0.000614693;0.003068239;0.006136458
0.01;5;4;942.3663565;0.731284107;0.343813969;0.914081664;0.507184395;0.959221499;0.360792436;-0.07485081;-0.017997221;-0.094843358;0
0.01;5;4;982.9867303;0.703886693;0.36010328;0.926048022;0.547189888;0.971778789;0.377886158;-0.068476422;-0.01651939;-0.086661719;0
0.01;5;4;1007.848144;0.959304794;0.196076648;0.912479667;0.15171455;0.957540392;0.205759446;-0.13411042;-0.031263223;-0.171931562;0
0.01;5;4;1001.331267;0.495852897;0.484844536;1.017738658;0.886021577;1.067997358;0.508787476;-0.01663393;-0.004122661;-0.020853044;2.24E-15
0.01;5;4;996.0602045;0.176851609;0.680473321;1.091721319;1.823420391;1.145633483;0.714076942;0.109969338;0.02910353;0.135028278;0.270056555
0.01;5;4;1034.585105;0.294080081;0.564177247;1.003458093;1.360345816;1.053011579;0.592037851;0.050198991;0.012881033;0.062221279;0.124442558
0.01;5;4;962.4128169;0.659000082;0.40139521;0.981889604;0.614167516;1.030377979;0.421217196;-0.057928857;-0.014051948;-0.073168312;0
0.01;5;4;1043.819854;0.92036688;0.24791263;0.956831436;0.224696763;1.004082371;0.260155229;-0.121540151;-0.028519579;-0.155418249;0
0.01;5;4;1031.416507;0.15384704;0.707211347;1.109067055;1.952660419;1.163835799;0.742135364;0.12580325;0.033566719;0.154101853;0.308203709
0.01;5;4;1011.994668;0.781761473;0.346767991;0.987652565;0.434376976;1.036425531;0.363892336;-0.086598336;-0.020694571;-0.109975797;0
0.01;5;4;1001.365129;0.959675069;0.186860795;0.871765499;0.150928553;0.914815647;0.196088488;-0.134246997;-0.031292828;-0.172111479;0
0.01;5;4;1060.545454;0.273912359;0.577550936;1.010129801;1.42449337;1.060012754;0.60607197;0.058780153;0.015150146;0.072756134;0.14551227
0.01;5;4;1001.800433;0.934603624;0.214243628;0.874304221;0.199720877;0.917479738;0.22482356;-0.125817324;-0.029457331;-0.16102697;0
0.01;5;4;972.0102038;0.197048842;0.664834804;1.087136214;1.723962229;1.140821952;0.697666153;0.097543029;0.02564993;0.119998715;0.239997415
0.01;5;4;996.0010643;0.259175741;0.610746882;1.054979946;1.474502113;1.107077721;0.640907222;0.065399834;0.016914185;0.08086358;0.161727159
0.01;5;4;984.3337006;0.385501766;0.523700783;1.003505466;1.11600418;1.053061292;0.54956255;0.016544674;0.004171879;0.020622224;0.041244447
0.01;5;4;1015.217396;0.68399937;0.366513486;0.921312711;0.576606561;0.966809635;0.384612918;-0.063824911;-0.015434646;-0.080704287;0
0.01;5;4;1017.987045;0.770090373;0.327121056;0.916028146;0.451165095;0.961264104;0.343275182;-0.083872542;-0.020071713;-0.106458255;0
0.01;5;8;987.4579438;0.64166801;0.278974359;0.972261279;0.633916571;0.996416839;0.285905399;-0.054848012;-0.00663223;-0.03378829;0
0.01;5;8;1013.798508;0.832133985;0.212047218;0.960376979;0.364589505;0.984237276;0.217315472;-0.098041061;-0.011550783;-0.059697443;2.24E-15
0.01;5;8;1001.794962;0.219985535;0.459359845;1.084080844;1.511788948;1.11101453;0.470772512;0.070296276;0.009170897;0.04473119;0.089462375
0.01;5;8;1006.676635;0.93581276;0.154870435;0.934881602;0.201561689;0.958108474;0.158718148;-0.125501214;-0.014544436;-0.075845102;0
