filelist.i.;nindivs;minncalls;maxncalls;nvars;nPCAs;HS;DS;HM;MI;Hsest;DSest;it
ANmodulation.csv;32;9;9;11;10;3.418565426;0.697916667;0.78106882;3.907582168;6.020913653;0.438933041;1
ANspec.csv;17;6;6;7;6;4.250985691;0.676470588;0.969972786;3.103819407;5.012524241;0.609208714;1
CCformants.csv;29;9;9;4;4;10.00547462;0.98467433;3.276247309;4.784493577;10.79065268;0.9386107;1
CCspec - reduced.csv;7;5;5;7;6;5.752591887;0.971428571;1.143133849;2.695922431;8.74358052;0.839005906;1
LAhighweewoo.csv;12;5;5;7;5;2.987054787;0.7;0.600346369;2.555391221;5.022406731;0.516342547;1
SS grunty.csv;14;9;9;10;7;2.442857385;0.484126984;0.551427341;2.100548586;2.544449684;0.469464265;1
ANmodulation.csv;33;5;5;11;10;3.21625053;0.660606061;0.756281232;3.972353929;6.205454041;0.364123692;2
ANspec.csv;31;9;9;7;6;4.682358173;0.681003584;1.003247346;3.880875239;5.742016547;0.580056177;2
CCformants.csv;24;6;6;4;4;10.31709183;0.979166667;3.370723334;4.504049287;10.82781409;0.924391284;2
CCspec - reduced.csv;27;5;5;7;6;4.696547431;0.718518519;0.907637891;3.868483038;6.649241545;0.551510676;2
LAhighweewoo.csv;16;6;6;7;5;3.708785331;0.6875;0.837711177;3.081663447;5.050864068;0.561955376;2
SS grunty.csv;6;8;8;10;8;2.261947173;0.75;0.33262252;1.906148429;4.160350056;0.578850075;2
ANmodulation.csv;19;8;8;11;10;3.89578321;0.769736842;0.967394845;3.45959068;6.165423836;0.580659872;3
ANspec.csv;31;8;8;7;6;4.54482826;0.689516129;0.973985216;3.921389424;5.984896988;0.561270202;3
CCformants.csv;19;10;10;4;4;10.49905713;0.994736842;3.55959261;4.222482831;10.281856;0.969730234;3
CCspec - reduced.csv;6;6;6;7;6;5.591401728;0.972222222;1.074839743;2.469914947;8.337427795;0.862161585;3
LAhighweewoo.csv;16;6;6;7;5;3.708785331;0.6875;0.837711177;3.081663447;5.050864068;0.561955376;3
SS grunty.csv;23;7;7;10;8;2.680425799;0.422360248;0.494810935;2.693138735;2.917048653;0.3831665;3
ANmodulation.csv;27;10;10;11;10;3.245731083;0.7;0.810711169;3.628775187;5.614782527;0.457001014;4
ANspec.csv;12;9;9;7;6;4.214028232;0.703703704;0.908432413;2.942553858;4.368527352;0.712450465;4
CCformants.csv;27;7;7;4;4;10.48829911;0.984126984;3.445823582;4.686957525;10.93648446;0.935022903;4
CCspec - reduced.csv;20;5;5;7;6;5.428290619;0.8;1.061860566;3.609569542;7.323898117;0.671455413;4
LAhighweewoo.csv;28;7;7;7;5;3.431512272;0.642857143;0.721998035;3.591901227;5.34888938;0.442989646;4
SS grunty.csv;31;9;9;10;7;2.712221233;0.340501792;0.525975987;2.755468917;2.549782275;0.354236928;4
ANmodulation.csv;12;6;6;11;10;3.823447681;0.819444444;0.958941173;2.916327564;6.507937237;0.628655067;5
ANspec.csv;25;7;7;7;6;4.406002825;0.64;0.996804804;3.576961823;5.100317869;0.574012209;5
CCformants.csv;30;7;7;4;4;10.15385594;0.985714286;3.313040374;4.843907811;11.09272728;0.924667892;5
CCspec - reduced.csv;19;8;8;7;6;5.197871439;0.868421053;1.019146429;3.693828617;7.8239353;0.705487577;5
LAhighweewoo.csv;21;6;6;7;5;3.161202515;0.642857143;0.654685489;3.190032059;4.975846232;0.446887855;5
SS grunty.csv;18;6;6;10;7;2.821987091;0.435185185;0.647860918;2.525657339;2.753765422;0.431556233;5
ANmodulation.csv;16;5;5;11;10;4.303878459;0.8125;0.978357774;3.33745775;7.114319788;0.606817046;6
ANspec.csv;24;9;9;7;6;4.57654699;0.671296296;1.036389922;3.481814228;5.124978576;0.616137243;6
CCformants.csv;25;5;5;4;4;10.2075542;0.992;3.361804259;4.612654983;11.3693436;0.908468708;6
CCspec - reduced.csv;11;9;9;7;6;5.590886778;0.939393939;1.079265084;3.194096917;8.038131098;0.839639362;6
LAhighweewoo.csv;13;7;7;7;5;3.724674046;0.791208791;0.819467399;3.038903495;6.007528774;0.61940593;6
SS grunty.csv;5;10;10;10;8;2.283517433;0.76;0.336611837;1.747236018;3.806377722;0.625740726;6
ANmodulation.csv;20;9;9;11;10;3.733599621;0.794444444;0.939833584;3.578282443;6.504854779;0.564385574;7
ANspec.csv;16;7;7;7;6;3.84502075;0.669642857;0.895860587;3.022335395;4.628894926;0.59314285;7
CCformants.csv;32;7;7;4;4;10.41247195;0.986607143;3.295973812;4.940953627;11.17517647;0.931172337;7
CCspec - reduced.csv;10;9;9;7;6;5.69300761;0.922222222;1.066243451;2.984040945;7.521034617;0.859322473;7
LAhighweewoo.csv;27;7;7;7;5;3.223822788;0.582010582;0.711002771;3.386240282;4.599608211;0.423728473;7
SS grunty.csv;8;7;7;10;8;2.283523128;0.517857143;0.321622229;1.664058097;2.220551305;0.52869015;7
ANmodulation.csv;32;6;6;11;10;3.62596389;0.677083333;0.834675581;3.935780661;6.191493392;0.430561026;8
ANspec.csv;18;9;9;7;6;4.554949206;0.685185185;1.030055619;3.328671329;4.735240355;0.671684994;8
CCformants.csv;32;5;5;4;4;10.27580132;0.98125;3.271339219;4.930503514;11.41248001;0.905720283;8
CCspec - reduced.csv;11;8;8;7;6;5.78089738;0.931818182;1.105073872;3.171745138;8.023194494;0.84033368;8
LAhighweewoo.csv;24;8;8;7;5;3.4464341;0.671875;0.746734895;3.43078551;5.265236801;0.485413312;8
SS grunty.csv;22;10;10;10;8;2.859829821;0.468181818;0.541490006;2.612050591;2.952497208;0.444630645;8
ANmodulation.csv;14;7;7;11;10;4.218289495;0.806122449;0.930786914;3.204364255;6.36687746;0.65802633;9
ANspec.csv;15;8;8;7;6;3.899528304;0.691666667;0.84208981;2.939147147;4.744444605;0.625659936;9
CCformants.csv;18;10;10;4;4;10.50462436;0.994444444;3.542140898;4.143066736;10.16982428;0.97198518;9
CCspec - reduced.csv;5;6;6;7;6;4.422452507;0.966666667;0.927488158;2.183871052;8.019771038;0.797405319;9
LAhighweewoo.csv;21;10;10;7;5;3.495540923;0.7;0.725911607;3.318796572;5.110357224;0.536323098;9
SS grunty.csv;20;8;8;10;8;2.725460461;0.43125;0.535938218;2.474418153;2.683640843;0.42467849;9
ANmodulation.csv;7;5;5;11;10;2.954792583;0.885714286;0.85523682;2.396939769;7.072216822;0.59921729;10
ANspec.csv;10;5;5;7;6;4.01863243;0.8;0.880639811;2.661537019;6.13491364;0.660168636;10
