filelist.i.;nindivs;minncalls;maxncalls;nvars;nPCAs;HS;DS;HM;MI;Hsest;DSest;it
1.csv;31;20;20;10;10;0.293729354;0.087096774;0.033622153;1.241113551;0.43028036;0.059952328;1
10.csv;25;5;5;10;10;9.60755805;0.936;1.130315435;4.47490074;10.19034024;0.890654602;1
11.csv;17;20;20;10;10;2.470466995;0.5;0.323259299;1.950519498;2.519631103;0.477829309;1
12.csv;13;18;18;10;10;5.018038452;0.893162393;0.849576734;3.181030307;6.900426924;0.816661634;1
13.csv;23;14;14;10;10;7.935029703;0.937888199;1.057662897;4.21234663;9.013220638;0.907412182;1
14.csv;24;13;13;10;10;9.39187189;0.961538462;1.127768646;4.399393432;9.660843977;0.951704576;1
15.csv;5;6;6;10;10;1.176934723;0.4;0.19742607;0.808500259;1.09491992;0.415460681;1
16.csv;30;12;12;10;10;2.328801298;0.344444444;0.302796253;2.449311134;2.393849374;0.330033616;1
17.csv;9;18;18;10;10;1.805519915;0.530864198;0.221025558;1.318513048;1.828177334;0.508973614;1
18.csv;35;11;11;10;10;7.266375143;0.831168831;1.043486677;4.371802927;7.905488084;0.816066943;1
19.csv;23;18;18;10;10;4.605435187;0.729468599;0.675322488;3.244074307;5.442662974;0.671720186;1
2.csv;8;13;13;10;10;5.450142102;0.961538462;0.830927295;2.803399212;7.557707299;0.906413824;1
20.csv;38;18;18;10;10;6.846075693;0.842105263;1.150579395;4.493087388;7.94310813;0.806301404;1
21.csv;22;11;11;10;10;0.537753463;0.115702479;0.057003249;1.456388733;0.462441055;0.121274585;1
22.csv;25;15;15;10;10;4.111571717;0.6;0.520026233;3.010839091;4.150102239;0.60552229;1
23.csv;29;19;19;10;10;3.079296224;0.491833031;0.56058465;2.628051302;3.323408516;0.455355663;1
24.csv;35;20;20;10;10;3.979423589;0.557142857;0.634694281;3.170148907;4.240464673;0.537025932;1
25.csv;39;19;19;10;10;9.007772533;0.932523617;0.969403854;4.929037115;9.529891458;0.927395999;1
26.csv;17;16;16;10;10;4.750000961;0.794117647;0.794073277;3.19212634;5.756767275;0.742000501;1
27.csv;17;12;12;10;10;6.736531112;0.887254902;0.816128395;3.577401092;7.501184712;0.880543821;1
28.csv;16;5;5;10;10;8.311747905;0.9375;1.157871366;3.768060437;9.42113062;0.87689057;1
29.csv;23;15;15;10;10;4.466841063;0.701449275;0.888825714;3.212175931;5.10853598;0.65901152;1
3.csv;14;10;10;10;10;1.908031663;0.385714286;0.286633826;1.749987975;1.794913441;0.40658286;1
30.csv;23;10;10;10;10;4.007874971;0.57826087;0.862788968;3.070952427;3.920231732;0.581836014;1
31.csv;23;15;15;10;10;0.811372848;0.153623188;0.090634099;1.398266319;0.683260615;0.163677654;1
32.csv;10;10;10;10;10;6.460172755;0.95;1.093503272;3.079264535;7.973562863;0.915462053;1
33.csv;9;18;18;10;10;4.120556415;0.913580247;0.711105492;2.739242475;6.633812378;0.800104541;1
34.csv;17;14;14;10;10;0.975028262;0.210084034;0.117877731;1.165146863;0.743741211;0.235602269;1
35.csv;38;5;5;10;10;9.234746036;0.921052632;1.133825763;4.954171912;10.40319779;0.863996637;1
36.csv;38;13;13;10;10;7.571561425;0.860323887;0.853682551;4.622499374;8.353747844;0.843324692;1
37.csv;36;17;17;10;10;0.964850217;0.14379085;0.103638005;1.690495679;0.878081382;0.147028787;1
38.csv;6;13;13;10;10;3.999373197;0.923076923;0.59176835;2.279051263;6.358920884;0.827643369;1
39.csv;23;13;13;10;10;1.859895289;0.277591973;0.355490602;1.939718573;1.522010659;0.310212118;1
4.csv;29;11;11;10;10;2.21278297;0.282131661;0.343590679;2.28770032;1.88834109;0.315450697;1
40.csv;37;19;19;10;10;1.757529097;0.19772404;0.284562541;2.025766528;1.272605386;0.247642243;1
41.csv;23;11;11;10;10;1.646207878;0.264822134;0.256828296;1.951030428;1.505994165;0.271959468;1
42.csv;27;18;18;10;10;7.366980014;0.927983539;1.092708583;4.384513091;8.999712476;0.869285551;1
43.csv;30;19;19;10;10;0.215503308;0.068421053;0.024539611;1.220962192;0.282819673;0.050713967;1
44.csv;27;6;6;10;10;2.08083598;0.271604938;0.236031336;2.560336655;2.050148742;0.270322165;1
45.csv;11;10;10;10;10;7.559804347;0.945454545;1.217293452;3.220776922;8.045686888;0.949732635;1
46.csv;5;11;11;10;10;4.141108003;0.945454545;0.789438507;2.055841929;6.780609653;0.843196187;1
47.csv;11;17;17;10;10;3.47790877;0.737967914;0.490589993;2.317401276;4.183109312;0.697191659;1
48.csv;36;9;9;10;10;2.300169324;0.287037037;0.33878148;2.714308527;2.223550374;0.282983959;1
49.csv;34;8;8;10;10;3.518424913;0.470588235;0.480677913;3.209250975;3.824986498;0.431742367;1
5.csv;10;6;6;10;10;7.028669115;0.966666667;0.979218474;3.19192352;8.948136258;0.890427084;1
50.csv;35;14;14;10;10;7.973960728;0.889795918;0.857154147;4.600261916;8.710626065;0.875800042;1
6.csv;14;14;14;10;10;0.989376186;0.265306122;0.130075619;1.159289996;0.835698784;0.276244495;1
7.csv;17;15;15;10;10;5.357130369;0.756862745;0.955182378;3.129616902;5.232265962;0.792374967;1
8.csv;25;13;13;10;10;2.729409281;0.473846154;0.322056609;2.473671713;3.116101112;0.421809387;1
9.csv;13;19;19;10;10;4.881047466;0.858299595;0.831816027;2.987028033;6.286447177;0.80519284;1
1.csv;19;13;13;10;10;0.281409536;0.109311741;0.029740286;1.155153934;0.293988555;0.101379048;2
10.csv;38;9;9;10;10;9.682221635;0.947368421;1.096959222;5.032555446;10.28618417;0.925728384;2
11.csv;20;10;10;10;10;2.420788042;0.415;0.319133493;2.187588395;2.445262084;0.402782138;2
12.csv;26;20;20;10;10;5.247099484;0.807692308;0.786631704;3.737582746;6.836008098;0.710222182;2
13.csv;29;8;8;10;10;7.626709327;0.909482759;1.015916636;4.487164754;9.362026544;0.827831344;2
14.csv;12;5;5;10;10;8.565475407;0.966666667;1.09974443;3.454957918;9.489989004;0.908938667;2
15.csv;5;17;17;10;10;0.875817661;0.388235294;0.144570327;0.515001404;0.42184671;0.429434148;2
16.csv;5;5;5;10;10;1.760950949;0.48;0.303325138;0.878966713;1.803168148;0.488642172;2
17.csv;16;13;13;10;10;1.796984593;0.365384615;0.201398393;1.6261095;1.725944745;0.373461774;2
18.csv;20;20;20;10;10;7.076522344;0.9225;1.173185819;3.909424844;8.36652895;0.887626531;2
19.csv;17;10;10;10;10;4.674244579;0.752941176;0.752161164;3.180220799;5.423648;0.702902533;2
2.csv;9;13;13;10;10;5.499719772;1;0.830452104;3.169924911;8.632498875;0.894972249;2
20.csv;15;18;18;10;10;6.237760503;0.9;1.102567482;3.39865044;7.315336606;0.883574468;2
21.csv;8;6;6;10;10;0.279927354;0.166666667;0.032627186;0.815730521;0.192939439;0.204439551;2
22.csv;38;15;15;10;10;4.530159134;0.573684211;0.564847015;3.377653611;4.601864519;0.579816328;2
23.csv;37;12;12;10;10;3.061906555;0.373873874;0.538110253;2.836909865;2.861177306;0.39391925;2
24.csv;6;13;13;10;10;3.121659298;0.897435897;0.73241808;2.182843193;5.872021234;0.735653339;2
25.csv;28;16;16;10;10;8.953340562;0.948660714;0.99101988;4.559663616;9.486924854;0.935419721;2
26.csv;39;9;9;10;10;5.148708983;0.626780627;0.868673883;3.827927855;5.427310965;0.598903143;2
27.csv;18;8;8;10;10;6.332629759;0.8125;0.790936519;3.476664139;6.737960382;0.809787683;2
28.csv;21;10;10;10;10;8.48256432;0.947619048;1.155648386;4.145665766;9.373328144;0.916995592;2
29.csv;40;6;6;10;10;4.442580187;0.525;0.858035258;3.76370371;4.768236337;0.49295341;2
3.csv;11;9;9;10;10;1.661060447;0.383838384;0.248695775;1.616631269;1.489505818;0.40858878;2
30.csv;23;5;5;10;10;3.994743528;0.469565217;0.870489435;3.243340349;3.55336228;0.512275747;2
31.csv;14;16;16;10;10;1.004851822;0.245535714;0.113941052;1.110788075;0.706949348;0.284396172;2
32.csv;22;8;8;10;10;7.475132486;0.892045455;1.192535821;4.027973233;8.555956074;0.849923916;2
33.csv;5;11;11;10;10;2.984386697;0.909090909;0.628557448;1.871498153;6.063754124;0.724065385;2
34.csv;8;18;18;10;10;0.732473477;0.368055556;0.086717844;0.669221191;0.705476667;0.33712024;2
35.csv;30;15;15;10;10;8.875063133;0.957777778;1.060848992;4.684199059;9.794436646;0.928166118;2
36.csv;24;6;6;10;10;7.231687249;0.888888889;0.837428425;4.143323203;8.996981438;0.800957664;2
37.csv;38;10;10;10;10;0.928041346;0.121052632;0.098680558;2.224463001;0.837475239;0.129066215;2
38.csv;19;9;9;10;10;5.791402303;0.83625731;0.713620733;3.533819374;7.100879873;0.769544867;2
39.csv;7;6;6;10;10;2.047043009;0.523809524;0.400135711;1.402127502;2.271515044;0.502363128;2
4.csv;8;6;6;10;10;1.91857526;0.541666667;0.352909953;1.739453338;2.571713093;0.465690405;2
40.csv;37;9;9;10;10;1.848360114;0.177177177;0.29561396;2.50381005;1.323975463;0.227810361;2
41.csv;29;7;7;10;10;1.923829293;0.226600985;0.305154783;2.50108023;1.679496938;0.251755397;2
42.csv;21;10;10;10;10;7.106004938;0.904761905;1.100214307;3.99729233;8.467701221;0.857243403;2
43.csv;8;17;17;10;10;0.201453732;0.154411765;0.028265054;0.373577569;-0.092283022;0.228156728;2
44.csv;10;16;16;10;10;1.921526484;0.49375;0.233692611;1.270702304;1.745288083;0.504843468;2
45.csv;11;9;9;10;10;7.517067685;0.939393939;1.206320758;3.206003064;8.038131098;0.938851386;2
46.csv;36;12;12;10;10;7.255130784;0.851851852;1.179861353;4.481926842;8.201629179;0.820054718;2
47.csv;38;13;13;10;10;3.162110241;0.396761134;0.424897022;2.824874023;3.056084819;0.409290874;2
48.csv;36;9;9;10;10;2.300169324;0.287037037;0.33878148;2.714308527;2.223550374;0.282983959;2
49.csv;24;6;6;10;10;3.245443492;0.4375;0.480905769;2.844571467;3.212099388;0.43416305;2
5.csv;25;20;20;10;10;9.419376998;0.966;1.082825542;4.45677703;9.669824117;0.94768875;2
50.csv;34;11;11;10;10;7.796254023;0.906417112;0.84261891;4.65391444;9.180518804;0.851402644;2
6.csv;35;7;7;10;10;1.000640232;0.102040816;0.123265591;2.512134151;0.743347692;0.128066334;2
7.csv;14;20;20;10;10;5.163878646;0.789285714;0.962277897;2.908811953;5.337257695;0.814108883;2
8.csv;10;15;15;10;10;2.71863833;0.686666667;0.367681788;1.95174631;3.439916201;0.615789136;2
9.csv;36;19;19;10;10;5.200556213;0.697368421;0.945741397;3.756674789;5.845097068;0.661204367;2
1.csv;30;8;8;10;10;0.36913444;0.079166667;0.045150003;2.07825117;0.428551875;0.06800357;3
10.csv;8;9;9;10;10;7.850957314;1;1.201578178;2.999999915;8.839954478;0.975221785;3
11.csv;35;14;14;10;10;2.908313907;0.357142857;0.423422961;2.60601822;2.582376923;0.390886405;3
12.csv;28;7;7;10;10;5.333863466;0.719387755;0.777526282;3.731145026;6.355541886;0.636024653;3
13.csv;34;16;16;10;10;7.766994195;0.90625;1.025792874;4.604817535;8.9145558;0.871088014;3
14.csv;22;17;17;10;10;9.360309598;0.959893048;1.135583588;4.254616952;9.319181207;0.959874594;3
15.csv;37;11;11;10;10;1.03291257;0.122850123;0.144982898;2.184224531;0.812963783;0.144285714;3
16.csv;37;12;12;10;10;2.304186942;0.317567568;0.288406474;2.552442394;2.343721297;0.298449208;3
17.csv;26;9;9;10;10;2.309292832;0.354700855;0.264639962;2.380276258;2.433111609;0.333047084;3
18.csv;20;8;8;10;10;7.07343119;0.9125;1.156579377;3.967305604;8.77765149;0.841907956;3
19.csv;9;16;16;10;10;4.356145897;0.875;0.841890004;2.603685369;5.926154632;0.819289624;3
2.csv;21;13;13;10;10;6.455090583;0.89010989;0.810458831;3.904104691;7.926735615;0.836961439;3
20.csv;39;19;19;10;10;6.86543652;0.834008097;1.159558836;4.471017615;7.847876024;0.806107739;3
