filelist.i.;nindivs;minncalls;maxncalls;nvars;nPCAs;HS;DS;HM;MI;Hsest;DSest
1.csv;40;20;20;10;10;0.281215645;0.05875;0.031269205;1.426059945;0.300209721;0.060478409
10.csv;40;20;20;10;10;9.892120685;0.95875;1.116900969;5.107408755;10.06053335;0.955168435
11.csv;40;20;20;10;10;2.795989039;0.35;0.421667886;2.515426616;2.50706783;0.374670061
12.csv;40;20;20;10;10;5.267169989;0.71;0.720266558;3.873870496;6.130998679;0.65875335
13.csv;40;20;20;10;10;7.607726437;0.87375;0.988945897;4.661412344;8.525266985;0.853727431
14.csv;40;20;20;10;10;9.476940681;0.9575;1.076457639;5.089541578;10.03628945;0.942537009
15.csv;40;20;20;10;10;1.068218078;0.14625;0.146479433;1.722209514;0.937760243;0.157376238
16.csv;40;20;20;10;10;2.332720573;0.3325;0.288591073;2.38753581;2.358597077;0.315124573
17.csv;40;20;20;10;10;2.509643041;0.34875;0.271888366;2.314095085;2.496412517;0.337797275
18.csv;40;20;20;10;10;7.540322398;0.86625;1.049728316;4.613261843;8.400311809;0.849561552
19.csv;40;20;20;10;10;4.834455589;0.6575;0.718129808;3.663464275;5.491551266;0.614479905
2.csv;40;20;20;10;10;6.851805927;0.8175;0.793164224;4.394316346;7.626377382;0.802736451
20.csv;40;20;20;10;10;6.838847241;0.83875;1.146195678;4.52121705;7.955749471;0.801753456
21.csv;40;20;20;10;10;0.555567033;0.085;0.057258175;1.459741128;0.493655603;0.094041285
22.csv;40;20;20;10;10;4.558251545;0.56;0.567189667;3.31034754;4.430427599;0.585975318
23.csv;40;20;20;10;10;2.984304738;0.395;0.518539464;2.663212745;2.894015016;0.398890801
24.csv;40;20;20;10;10;3.961614651;0.5125;0.633259399;3.17803304;3.961534449;0.520015315
25.csv;40;20;20;10;10;9.003227091;0.9375;0.972388996;4.982531451;9.655380774;0.924950029
26.csv;40;20;20;10;10;5.178173833;0.68875;0.861560701;3.836605665;5.865713352;0.649722478
27.csv;40;20;20;10;10;6.950379351;0.8;0.788853353;4.330783718;7.364015672;0.810073146
28.csv;40;20;20;10;10;8.611537996;0.9125;1.040181467;4.852535962;9.197319205;0.907871061
29.csv;40;20;20;10;10;4.68309977;0.59875;0.855079107;3.506016885;4.834613185;0.598862099
3.csv;40;20;20;10;10;1.813796041;0.23875;0.223858182;2.0833879;1.616123681;0.249950405
30.csv;40;20;20;10;10;4.374378844;0.58625;0.851111652;3.41974571;4.701899402;0.566562945
31.csv;40;20;20;10;10;0.886783485;0.10375;0.106980934;1.604049851;0.630309115;0.134893556
32.csv;40;20;20;10;10;8.122984771;0.9025;1.157405447;4.802443746;9.019555331;0.883374292
33.csv;40;20;20;10;10;5.930139211;0.75;0.795778269;4.096677888;6.656109289;0.723753916
34.csv;40;20;20;10;10;0.892068572;0.11125;0.115819853;1.677466985;0.684724229;0.135547631
35.csv;40;20;20;10;10;9.058638997;0.93875;1.096689498;4.983087197;9.67880583;0.927181175
36.csv;40;20;20;10;10;7.668499203;0.86875;0.904271989;4.659355884;8.441783662;0.857426575
37.csv;40;20;20;10;10;1.001050816;0.13625;0.10600027;1.64248442;0.865530117;0.149046829
38.csv;40;20;20;10;10;6.610229493;0.82625;0.791979102;4.405369991;7.760543761;0.783740887
39.csv;40;20;20;10;10;2.07989043;0.23125;0.408907986;2.219961651;1.559795158;0.283067584
4.csv;40;20;20;10;10;2.389679668;0.31875;0.376190051;2.372794557;2.244241023;0.322407706
40.csv;40;20;20;10;10;1.802141938;0.19875;0.287734863;2.025810856;1.319127949;0.248506419
41.csv;40;20;20;10;10;1.763299976;0.195;0.288609401;2.035322385;1.291653952;0.243692133
42.csv;40;20;20;10;10;7.67507404;0.8825;1.100860644;4.729439734;8.67311056;0.857823539
43.csv;40;20;20;10;10;0.219711956;0.05125;0.024188973;1.38601086;0.244342857;0.052997981
44.csv;40;20;20;10;10;2.489175549;0.34625;0.271296708;2.349466698;2.475113155;0.335167572
45.csv;40;20;20;10;10;8.501324755;0.92;1.159034261;4.90573549;9.332670521;0.902653636
46.csv;40;20;20;10;10;7.41673898;0.86375;1.173044829;4.639029349;8.359018774;0.841751398
47.csv;40;20;20;10;10;3.132346347;0.40875;0.428649176;2.649563055;3.013960226;0.417836691
48.csv;40;20;20;10;10;2.435999663;0.3125;0.344982331;2.326591794;2.192978551;0.3283427
49.csv;40;20;20;10;10;3.412424119;0.4625;0.445044936;2.878279744;3.493965526;0.453263552
5.csv;40;20;20;10;10;9.716025343;0.9425;1.064109118;5.015583844;9.749384014;0.950129614
50.csv;40;20;20;10;10;8.1539773;0.9;0.859666628;4.790970937;8.975592047;0.885033121
6.csv;40;20;20;10;10;0.932675038;0.12;0.112623956;1.608546017;0.748083072;0.140574869
7.csv;40;20;20;10;10;5.836273003;0.7325;1.055217251;4.018216633;6.422089719;0.7148624
8.csv;40;20;20;10;10;3.104307778;0.43;0.353317937;2.749077065;3.201407542;0.414257457
9.csv;40;20;20;10;10;5.214298785;0.67875;0.99128176;3.834565422;5.743969851;0.653394325
