"cov";"id";"i";"o";"p";"it";"itop";"HS"
0.25;1;3;10;5;1;0.5;1.8
0.25;10;5;10;10;1;0.5;15.59
1;2.5;10;10;20;1;0.5;3.47
0.5;5;3;10;5;2;0.5;5.81
0.75;1;5;10;10;2;0.5;2.42
0;10;10;10;20;2;0.5;35.43
0.25;0.01;3;10;5;3;0.5;0.17
0;5;5;10;10;3;0.5;12.26
0.75;0.01;10;10;20;3;0.5;0.12
0.75;2.5;3;10;5;4;0.5;2.82
0.5;2.5;5;10;10;4;0.5;7.51
0.5;5;10;10;20;4;0.5;24.49
0.5;2.5;3;10;5;5;0.5;3.15
0.75;5;5;10;10;5;0.5;10.61
0.75;1;10;10;20;5;0.5;4.51
0;2.5;3;10;5;6;0.5;3.64
1;10;5;10;10;6;0.5;5.09
1;1;10;10;20;6;0.5;2.03
1;2.5;3;10;5;7;0.5;2.09
0.25;1;5;10;10;7;0.5;2.41
0.25;2.5;10;10;20;7;0.5;15.67
0.5;2.5;3;10;5;8;0.5;3.12
0.25;5;5;10;10;8;0.5;11.77
0.25;0.01;10;10;20;8;0.5;-0.19
0.75;1;3;10;5;9;0.5;1.32
0.75;10;5;10;10;9;0.5;17.69
0.25;2.5;10;10;20;9;0.5;14.79
1;2.5;3;10;5;10;0.5;2.62
1;1;5;10;10;10;0.5;1.87
1;2.5;10;10;20;10;0.5;3.04
0;10;3;10;5;11;0.5;9.79
0.75;2.5;5;10;10;11;0.5;6.18
0;1;10;10;20;11;0.5;5.87
0.75;5;3;10;5;12;0.5;6.48
0.5;2.5;5;10;10;12;0.5;7.05
1;2.5;10;10;20;12;0.5;3.35
0;5;3;10;5;13;0.5;7.55
0.5;1;5;10;10;13;0.5;2.45
1;2.5;10;10;20;13;0.5;3.16
0.75;5;3;10;5;14;0.5;5.61
0.75;10;5;10;10;14;0.5;12.06
0.75;1;10;10;20;14;0.5;3.67
0;0.01;3;10;5;15;0.5;-0.12
0.75;10;5;10;10;15;0.5;15.56
1;1;10;10;20;15;0.5;2.12
0;2.5;3;10;5;16;0.5;4.64
0;10;5;10;10;16;0.5;17.31
0;1;10;10;20;16;0.5;5.58
1;2.5;3;10;5;17;0.5;2.29
0.25;5;5;10;10;17;0.5;9.89
0.5;10;10;10;20;17;0.5;30.03
1;5;3;10;5;18;0.5;3.2
0;5;5;10;10;18;0.5;11.94
0;5;10;10;20;18;0.5;25.73
1;10;3;10;5;19;0.5;4.52
0;10;5;10;10;19;0.5;17.53
0.75;0.01;10;10;20;19;0.5;-0.16
0.5;0.01;3;10;5;20;0.5;0.01
0.5;5;5;10;10;20;0.5;9.36
0.75;10;10;10;20;20;0.5;26.58
