"id";"f1";"f3";"f5";"f7";"f9";"f11";"f13";"f15";"f17";"f19";"dur"
"070p";589.4;892.7;918.4;918.9;908.8;910.8;911;910.6;914.7;595;0.68
"070p";555.3;909.7;939.9;939.5;935.9;922.9;921.6;920.9;918.4;934.9;0.648
"070p";555.1;908.3;931.3;924.6;918.7;916.5;919.2;916;920.9;969.4;0.688
"070p";539.3;534.1;893.9;890.1;886.5;882.7;893.3;894.6;547;526.7;0.976
"070p";561.5;898.9;918;913.8;911.8;908.4;910.2;912.8;912.2;929.9;0.736
"070p";571.1;892.7;915.9;911.2;906.2;904.1;905.4;909.3;913.3;929.6;0.728
"070p";778.1;859.7;877.6;881.7;882.3;883.7;888.6;895.5;899;918.4;0.704
"070p";554.7;909.8;931.6;930.5;930.5;919.9;919;917.1;920.3;928.4;0.68
"070p";548.6;899;923.2;921.1;914.2;912.9;911.1;910.4;909.8;938.9;0.72
"070p";1093.2;892.4;910.6;904.6;897.1;895.7;900.6;900.6;908.4;924.1;0.736
"130a";903.4;955.8;1017.9;1029.4;1047.2;1040.4;1047.1;1046.1;1039.4;1030.4;0.52
"130a";1052.1;1059.8;1068.5;1086.6;1087;1088.7;1086.1;1079.2;1056.7;1041.7;0.48
"130a";910.1;965.1;962.5;1045.2;1061.6;1060.4;1069.8;1061.3;1043.9;1045.2;0.496
"130a";941.3;948.3;1046.1;1058.9;1075.6;1078.7;1084.8;1083.5;1082.2;1059.6;0.504
"130a";931.1;955.8;985.9;976.7;1003.6;1014.5;1025.2;1010.5;1010.7;1008.1;0.368
"130a";908.4;1012.7;953.3;1058.1;1057.1;1061.9;1075.1;1074;1050.1;1033.3;0.496
"130a";907.3;984.4;1033.9;969;1047.1;1052.6;1052.1;1062.4;1039.9;1038.6;0.528
"130a";1038.9;1044.3;1056.8;1064.7;1058.1;1075.2;1091.1;1093.2;1061.8;1068.9;0.496
"130a";921.6;991.1;1042.5;1054.2;1069.8;1067.1;1075.1;1070.6;1055.9;1040.5;0.512
"130a";992.8;1016.4;1049.9;1060.3;1068.6;1074.3;1070;1090.9;1078;1041.6;0.504
"159c";842.9;875.2;888.2;972.4;988.5;965.5;975.7;978.8;978.5;958.3;0.512
"159c";850.9;889.1;931.8;990.6;991;983.1;987.3;984.4;974.6;921.9;0.496
"159c";848.2;886.2;927.9;967.8;985.6;993;987.7;982.7;976.5;953.6;0.496
"159c";853.9;576.7;932.9;962.4;980.7;987.2;984.1;986.6;983.5;964.7;0.496
"159c";853.9;881.1;914.9;979;987;526.7;983.8;977.9;974.7;533.9;0.536
"159c";851.2;895.1;525.2;555;562.5;960.2;970.8;536.8;972.6;718.2;0.552
"159c";840.7;880.4;917.7;951.5;970.1;966.3;981.2;977.5;970.8;917.8;0.544
"159c";848;884.7;921.7;982.8;990.9;994.9;985.5;984.5;975.7;950.6;0.496
"159c";862.7;901.2;948.6;989.3;1011.8;1015.1;1009.3;992.9;984.1;968.4;0.48
"159c";827;869;914;961.8;970.8;970.5;975.4;980.2;974.8;906.9;0.528
"199a";921.9;1061.7;1082.1;1068.8;1101.1;1085.8;1053.6;1039.9;1039.5;1026.2;0.464
"199a";863.2;1065.4;1069.6;1077.5;1104.1;1074.5;1045.4;1045.9;1035.9;1017.7;0.456
"199a";907.1;1024.1;1059.5;1058.4;1075.6;1043.4;1028.1;1035.3;1013.4;997.7;0.448
"199a";921.8;1022.7;1058.8;1066.2;1071.3;1043.1;1035.2;1040.8;1013.2;991.6;0.432
"199a";898;1085.7;1102.3;1072.8;1105;1077.6;1039.3;1027.1;1027;1001.1;0.456
"199a";921.2;1018.2;1053.2;1053.8;1086.7;1055;1035.1;1031.9;1012.6;989.6;0.464
"199a";960.9;1076.5;1081.8;1075.5;1095.5;1093.9;1062.3;1048.9;1053.3;1035.5;0.44
"199a";925.6;1082;1115.4;1125.9;1069.2;1098.8;1070.7;1061.5;1041.5;1021.6;0.448
"199a";937.8;1069.8;1065.9;1072.2;1094.7;1066.2;1049.1;1025.4;1010;998.9;0.472
"199a";957.6;1012.8;1073.6;1098.9;1074.5;519.6;1032.5;1012;991;973.9;0.472
"breb";853.5;869.9;911.4;937.3;942.6;968.5;983.6;997;980.8;980.1;0.584
"breb";902;921.3;954.1;980.1;987.9;1020.9;1042;1039.7;1021.1;1028.2;0.624
"breb";875;919.6;928.7;988.4;1008.1;1031;1061.7;1040.9;1033.9;1016.4;0.608
"breb";928.1;950.2;987.7;1003.3;1014.1;1057.4;1057.8;1033.1;1004.3;984.3;0.608
"breb";884.2;928.6;968.7;992.3;1021.5;1037.4;1053.3;1040.6;1006.8;1031.3;0.616
"breb";818.8;867;917;954;977.4;992.2;1003.9;1013.5;1010.2;997.1;0.584
"breb";906.7;920.8;958.7;984;999.2;1020.6;1030.9;1038.4;1019.3;1020;0.576
"breb";778.2;875.5;910.4;943.9;970;981.3;1003.9;1012.8;1011.4;1006.6;0.632
"breb";880.9;894.1;928.3;966.6;988.8;1000.2;993.6;1000.6;996.1;985.1;0.568
"breb";896.8;906.8;948.3;969.3;985.8;992.7;1009.9;1016.7;1001.5;992.7;0.576
