"id";"dur";"df";"minf";"maxf";"q25";"q50";"q75"
"070p";0.68;919.1;500;1851.6;906.3;1000;1132.8
"070p";0.648;940.6;789.1;1914.1;953.1;1109.4;1726.6
"070p";0.688;978.2;820.3;1890.6;953.1;1046.9;1453.1
"070p";0.976;1016.1;500;1843.8;929.7;1046.9;1148.4
"070p";0.736;925;570.3;1890.6;945.3;1242.2;1734.4
"070p";0.728;1024.5;562.5;1906.3;976.6;1109.4;1726.6
"070p";0.704;1781.4;750;1882.8;968.8;1328.1;1750
"070p";0.68;932.9;757.8;1898.4;953.1;1062.5;1609.4
"070p";0.72;991.4;601.6;1906.3;976.6;1078.1;1687.5
"070p";0.736;1022.7;804.7;1890.6;976.6;1085.9;1640.6
"130a";0.52;1037.8;914.1;1281.3;976.6;1046.9;1132.8
"130a";0.48;1073.8;921.9;1125;1031.3;1070.3;1101.6
"130a";0.496;1056.5;914.1;1164.1;984.4;1046.9;1085.9
"130a";0.504;1073;898.4;1164.1;976.6;1054.7;1101.6
"130a";0.368;982.8;906.3;1859.4;960.9;1000;1070.3
"130a";0.496;1067.6;914.1;1117.2;1000;1046.9;1085.9
"130a";0.528;1051.2;914.1;1164.1;992.2;1046.9;1085.9
"130a";0.496;1087;929.7;1164.1;1039.1;1078.1;1109.4
"130a";0.512;1062.7;921.9;1195.3;1000;1054.7;1093.8
"130a";0.504;1066.3;921.9;1156.3;1015.6;1062.5;1101.6
"159c";0.512;983.9;820.3;1851.6;921.9;992.2;1546.9
"159c";0.496;989.9;828.1;1851.6;929.7;992.2;1343.8
"159c";0.496;984.8;820.3;1859.4;929.7;984.4;1375
"159c";0.496;981.5;515.6;1875;804.7;960.9;1179.7
"159c";0.536;979.7;507.8;1859.4;914.1;984.4;1437.5
"159c";0.552;547.2;492.2;1492.2;570.3;914.1;1007.8
"159c";0.544;972.5;539.1;1867.2;914.1;968.8;1414.1
"159c";0.496;989.1;828.1;1859.4;929.7;984.4;1296.9
"159c";0.48;1006.2;843.8;1851.6;945.3;1000;1039.1
"159c";0.528;976;820.3;1867.2;921.9;984.4;1554.7
"199a";0.464;1064.5;898.4;1179.7;1015.6;1062.5;1109.4
"199a";0.456;1070.4;898.4;1156.3;1015.6;1062.5;1101.6
"199a";0.448;1062.5;906.3;1132.8;1007.8;1054.7;1085.9
"199a";0.432;1062.3;914.1;1140.6;1007.8;1054.7;1085.9
"199a";0.456;1069.7;906.3;1179.7;1015.6;1062.5;1101.6
"199a";0.464;1067.1;890.6;1148.4;992.2;1046.9;1085.9
"199a";0.44;1066.1;898.4;1171.9;1023.4;1070.3;1109.4
"199a";0.448;1072.2;898.4;1179.7;1023.4;1070.3;1117.2
"199a";0.472;1062.2;890.6;1156.3;1000;1054.7;1093.8
"199a";0.472;1089.9;906.3;1164.1;1000;1062.5;1117.2
"breb";0.584;986.4;796.9;1859.4;937.5;1000;1210.9
"breb";0.624;1033.4;867.2;1890.6;968.8;1031.3;1140.6
"breb";0.608;1042.7;796.9;1882.8;953.1;1031.3;1140.6
"breb";0.608;1007.5;859.4;1101.6;968.8;1023.4;1078.1
"breb";0.616;1029.4;789.1;1890.6;960.9;1031.3;1179.7
"breb";0.584;1004.4;742.2;1859.4;906.3;992.2;1062.5
"breb";0.576;1020.1;851.6;1140.6;945.3;1007.8;1062.5
"breb";0.632;993.1;757.8;1914.1;937.5;1015.6;1601.6
"breb";0.568;985.9;765.6;1851.6;921.9;992.2;1070.3
"breb";0.576;1003.7;804.7;1859.4;945.3;1007.8;1164.1
