"id";"q25";"q50";"q75";"fma";"minf";"maxf";"SYL1"
"74";3316;4258;5937;3986;920;9116;0.189
"74";3364;4338;5905;3789;920;9081;0.164
"74";3372;4303;5918;4048;877;9017;0.175
"74";3321;4268;5932;4021;925;9124;0.186
"74";3294;4231;5932;4072;923;9504;0.187
"74";3329;4268;5940;4085;923;9103;0.174
"74";3305;4298;6015;4059;915;9140;0.19
"74";3302;4285;5959;4115;909;8058;0.184
"74";3308;4260;5916;4018;904;9213;0.185
"74";3286;4252;5953;4029;942;8930;0.183
"224";3299;4968;6007;5738;995;7924;0.189
"224";3299;4963;6029;3192;963;8031;0.189
"224";3299;4995;6050;3149;947;10798;0.181
"224";3305;5028;6050;5840;925;8360;0.19
"224";3369;5011;6029;5851;952;8198;0.181
"224";3305;5017;6045;5862;985;7951;0.188
"224";3310;5006;6099;5857;979;8500;0.183
"224";3326;5028;6056;5883;1033;7762;0.193
"224";3305;5011;6077;5862;979;8080;0.18
"224";3283;4947;6029;5878;1001;7741;0.164
"101";2514;4236;6072;2390;1055;7477;0.156
"101";2551;4392;6142;6104;1098;7542;0.158
"101";2540;4306;6147;2470;1060;7509;0.157
"101";2567;4635;6190;6023;1055;7498;0.168
"101";2535;4538;6190;6131;1082;7525;0.159
"101";2557;4581;6223;2433;1108;7525;0.169
"101";2562;4268;6169;6066;1076;7488;0.167
"101";2551;4145;6153;2223;1055;7493;0.155
"101";2610;4301;6206;2481;1125;7579;0.167
"101";2527;4107;6139;2201;1090;7558;0.177
"117";2578;5019;6476;6365;880;9541;0.182
"117";2767;4960;6704;6053;869;8319;0.181
"117";2616;4180;6419;6368;837;8158;0.185
"117";2893;4966;6548;6373;901;8136;0.185
"117";2783;4430;6529;6387;882;9450;0.182
"117";2613;4196;6468;3020;864;8174;0.191
"117";2729;4371;6424;6115;893;8545;0.202
"117";2651;4425;6462;3106;885;9261;0.182
"117";2602;4260;6295;6042;907;8543;0.195
"117";2820;5146;6457;6050;966;7795;0.185
"261";3509;4882;6293;4527;915;9377;0.156
"261";3326;4683;6206;5927;872;9388;0.157
"261";3364;4721;6099;4538;915;8720;0.157
"261";3542;4925;6169;4505;904;8290;0.157
"261";3353;4769;6158;4505;855;10411;0.154
"261";3391;4694;6007;5690;909;9426;0.164
"261";3326;4715;6099;5910;909;9469;0.158
"261";3364;4731;6040;5663;904;8220;0.157
"261";3332;4726;6110;5781;872;9415;0.166
"261";3423;4861;6180;5641;952;9291;0.167
