"id";"fp1amean";"q1mean";"csmean";"tonalF0";"q3mean";"noise";"ranmean";"q2mean";"df2pr";"q2min"
"50_8";62;165;0.891;86;399;0;1056;238;0;173
"50_8";57;182;0.931;80;424;1;1142;310;3;216
"50_8";58;163;0.874;96;466;0;1096;249;1;173
"50_8";62;166;0.885;91;420;0;1090;266;0;173
"50_8";35;137;0.819;99;442;0;927;204;0;173
"50_8";55;163;0.879;97;468;0;1085;282;0;173
"50_8";47;158;0.852;99;423;0;950;216;0;173
"50_8";40;146;0.833;99;430;1;913;206;0;173
"50_8";48;153;0.862;98;363;0;926;207;0;173
"50_8";57;173;0.886;94;468;0;997;253;0;216
"15_2";131;156;0.887;65;381;1;1180;276;0;129
"15_2";246;142;0.85;92;382;0;1148;248;0;173
"15_2";137;171;0.878;71;488;0;1204;287;9;173
"15_2";101;155;0.869;92;433;1;1181;274;0;173
"15_2";111;136;0.82;70;412;9;1123;232;1;173
"15_2";237;176;0.905;82;434;1;1204;336;0;173
"15_2";189;157;0.863;77;413;5;1179;290;0;173
"15_2";127;157;0.854;91;475;0;1189;319;4;129
"15_2";146;148;0.857;40;421;16;1183;278;0;173
"15_2";192;146;0.815;74;554;6;1126;304;1;173
"7_6";85;132;0.757;98;340;0;959;185;2;129
"7_6";58;133;0.82;96;417;0;1075;268;0;129
"7_6";36;162;0.868;95;439;0;1014;307;0;173
"7_6";92;130;0.801;100;411;0;1059;245;0;129
"7_6";71;131;0.78;98;403;0;1040;217;0;173
"7_6";147;136;0.803;89;529;4;1104;252;0;173
"7_6";116;143;0.809;100;470;0;1112;274;1;173
"7_6";108;145;0.828;94;426;0;1096;266;0;173
"7_6";138;153;0.851;94;429;1;1147;308;0;173
"7_6";133;139;0.841;97;409;0;1114;275;0;173
"142_1";338;132;0.777;88;460;4;1091;231;4;173
"142_1";233;153;0.815;86;524;4;1235;350;17;173
"142_1";251;135;0.755;93;565;1;1015;240;0;173
"142_1";204;154;0.817;79;548;1;1232;323;16;173
"142_1";252;136;0.783;87;484;3;1132;290;5;129
"142_1";273;132;0.76;98;478;0;1069;251;0;173
"142_1";102;127;0.767;100;463;0;1062;267;1;173
"142_1";113;132;0.761;98;672;0;1073;281;30;129
"142_1";199;129;0.747;97;458;0;1061;237;1;129
"142_1";240;132;0.741;96;585;0;992;221;5;173
"142_8";195;133;0.807;99;401;0;1020;186;0;173
"142_8";185;130;0.793;97;351;0;985;182;0;173
"142_8";201;136;0.811;97;460;0;993;216;0;173
"142_8";265;159;0.875;84;426;1;1123;292;0;173
"142_8";253;161;0.865;93;402;1;1097;276;1;129
"142_8";244;142;0.805;98;620;0;891;212;1;173
"142_8";228;144;0.805;100;697;0;928;222;0;173
"142_8";321;166;0.896;96;433;0;1129;342;0;216
"142_8";304;137;0.811;99;462;0;874;183;0;173
"142_8";247;164;0.829;98;598;0;976;245;3;173
