"id";"f1";"f3";"f5";"f7";"f9";"f11";"f13";"f15";"f17";"f19";"dur"
"007a";624.9;673.7;754.1;766;1094.9;1004.9;1154.1;1186.5;1245.8;1183.1;0.552
"007a";553.6;0;695.3;741;799;876.4;1109.2;973.6;1157.6;1226.5;0.64
"007a";532.8;706.3;765.1;803.7;836.8;866.6;909.9;918.3;1189.9;595.5;0.592
"007a";682.6;757.4;781;859.2;881.6;915.6;1201.7;1212.2;1248;1297.3;0.592
"007a";1375.4;727.9;777.3;846.5;858.4;897.2;1122.3;1137.8;1243;1232.8;0.568
"007a";561.7;683.7;755.8;804.4;856.8;1034.9;909.9;1202;1185.3;1090.5;0.6
"007a";627;700.3;860.5;762.1;861.5;515.2;1002;1189;1189.9;1224.9;0.552
"007a";715.2;795.4;851.1;879.3;905.3;922.5;927.8;1152.5;1195.8;1187.8;0.576
"007a";672.1;696.7;768;853.4;881.2;920.6;1168.8;1172;1213.4;1238.8;0.568
"007a";703.6;772.1;819.6;868.2;973.9;1142.1;1186.8;1212.3;1237.6;1217.8;0.552
"042a";726.2;866.1;909.6;926.4;943.1;955.6;962.5;971.9;973.2;979.3;0.648
"042a";827.7;879.5;894.1;909.6;924;937.4;943.5;951.4;965.4;959.6;0.648
"042a";575.4;733.8;818.3;847.9;871.4;891.3;908.4;918.6;928.7;942;0.744
"042a";773.7;874.8;910.3;927.6;942;959.1;966;971.2;967.7;974.3;0.672
"042a";696;823.5;859.6;888.3;897.9;913;919.5;926.1;927.3;940.3;0.696
"042a";606.6;769.7;831.8;856.2;872.6;882.5;903.3;913.6;933.4;956.7;0.752
"042a";733.4;870.7;910.7;933.9;944.7;961.2;966.9;972.3;969.8;977.6;0.672
"042a";743;888.3;919.5;932.4;946.3;951.6;965.8;960.3;966.9;969.1;0.688
"042a";574.8;727.4;827;859.7;877.6;898.5;907.1;919.5;936.3;944.1;0.752
"042a";596.4;787.9;847;872.7;890.1;909.2;920;925.8;937.2;958;0.76
"045a";976.1;1003.9;1084.2;1114.6;1116.4;1124.3;1123.2;1116.6;1097.3;1097.1;0.536
"045a";997.1;1033.4;1102.3;1115.2;1124;1124;1122.4;1114.2;1101.3;1142;0.536
"045a";520.5;1027.7;1124.3;1099;1123.6;1116.9;1106.1;1100.3;1088.3;1105.3;0.592
"045a";508;1007.6;1096.5;1101;1088.7;1099.9;1099.3;1089.7;1070.7;1050.1;0.528
"045a";999.6;1021.6;1126.1;1136.8;1128.1;1135.4;1128.6;1124.4;1105.2;1122.9;0.536
"045a";987.7;989.7;1057.2;1105;1113;1119.1;1120;1124.1;1115.7;1153.6;0.52
"045a";964.5;989.7;1059.2;1084.6;1101.4;1110.4;1126.6;1126.8;1116.7;1147.1;0.52
"045a";975.9;1012.8;1084.9;1092.2;1083.3;1092.3;1094.5;1082.6;1089.8;1084.3;0.552
"045a";962.4;989.9;1068.1;1099.1;1117.6;1115.3;1114.8;1112.3;1092.1;1110;0.536
"045a";973.9;986.3;1044.9;1085.8;1091.2;1090;1102.3;1097.5;1076.4;1118.5;0.52
"552";830.5;900.8;949.4;973.4;1015.3;1042;1051.5;1050.1;1054.4;1047;0.48
"552";720.5;813.5;872.1;904.3;941.7;970.8;988.9;1011.7;1005.8;1005;0.52
"552";817;871.8;852.2;534.4;802.3;572.3;613.8;593.4;594.9;589.5;0.512
"552";793.9;857.8;893.8;582.5;952.9;974.4;983.4;1000.7;1018.5;1015.5;0.472
"552";831.7;872.4;978.3;991.4;1007.3;1032.3;1045.6;1064.4;1065.5;1036.8;0.472
"552";575.3;982.4;996.9;1033.3;1027.2;1044.5;591.3;540.7;600.9;531.2;0.416
"552";841;894.1;978.8;986.8;1001.8;1019.2;1021.6;1034.2;1040.7;1005.3;0.416
"552";824.6;875;949.5;964.7;985.4;1007.7;1006.9;1014.8;537.8;998.4;0.448
"552";849.7;867.9;967.4;980.8;995.3;1020.8;1036.3;1046.9;1061.8;1062.9;0.4
"552";841.5;956.6;997;1023.7;1037.5;1048.3;1040.6;1049.2;1049.1;1040.3;0.448
"055a";902.5;1032.3;1071.8;1091;1099.8;1113;1114.9;1114;1114;1118.3;0.664
"055a";937.2;806;1010.3;1043.7;1062.4;1077.6;1085.9;1098.8;1094.7;1110.2;0.656
"055a";923.4;980;1000.9;1082.5;1110;1120.3;1121.5;1122.1;1126.2;1166.2;0.624
"055a";890.6;1003.1;1072.4;1025.7;1117;1127.5;1131.3;1128.9;1120.8;1133;0.632
"055a";943.7;1055.6;1104.8;1124.9;1126.1;1141.8;1139.8;1132.7;1130.8;1146.4;0.624
