"id";"dur";"df";"minf";"maxf";"q25";"q50";"q75"
"007a";0.552;1214.8;601.6;1812.5;1023.4;1210.9;1453.1
"007a";0.64;1115.8;515.6;1828.1;898.4;1148.4;1406.3
"007a";0.592;1193.6;476.6;1890.6;906.3;1210.9;1539.1
"007a";0.592;1203.2;671.9;1875;929.7;1234.4;1468.8
"007a";0.568;1232.6;695.3;1851.6;968.8;1218.8;1539.1
"007a";0.6;1196.5;546.9;1859.4;960.9;1203.1;1414.1
"007a";0.552;1188.6;617.2;1765.6;968.8;1187.5;1421.9
"007a";0.576;1187.6;539.1;1890.6;953.1;1203.1;1539.1
"007a";0.568;1182.2;687.5;1867.2;968.8;1226.6;1546.9
"007a";0.552;1210.5;718.8;1820.3;1031.3;1218.8;1507.8
"042a";0.648;977.7;843.8;1898.4;953.1;1031.3;1531.3
"042a";0.648;961.8;828.1;1867.2;945.3;984.4;1382.8
"042a";0.744;951.1;601.6;1906.3;929.7;1085.9;1640.6
"042a";0.672;969.3;781.3;1875;945.3;1015.6;1562.5
"042a";0.696;936.7;796.9;1898.4;921.9;1000;1593.8
"042a";0.752;952.3;625;1906.3;937.5;1046.9;1625
"042a";0.672;973.2;843.8;1875;953.1;1015.6;1546.9
"042a";0.688;964.6;835.9;1890.6;945.3;1015.6;1562.5
"042a";0.752;943.8;601.6;1914.1;929.7;1093.8;1632.8
"042a";0.76;956.6;601.6;1921.9;929.7;1039.1;1648.4
"045a";0.536;1094.6;953.1;1164.1;1023.4;1078.1;1125
"045a";0.536;1112.6;968.8;1195.3;1031.3;1085.9;1132.8
"045a";0.592;1100.6;968.8;1164.1;1031.3;1085.9;1125
"045a";0.528;1072.3;960.9;1148.4;1023.4;1070.3;1109.4
"045a";0.536;1107.5;953.1;1179.7;1023.4;1093.8;1132.8
"045a";0.52;1116.7;953.1;1218.8;1031.3;1085.9;1132.8
"045a";0.52;1112.6;953.1;1234.4;1046.9;1093.8;1140.6
"045a";0.552;1094;960.9;1265.6;1046.9;1093.8;1148.4
"045a";0.536;1088.3;945.3;1476.6;1039.1;1093.8;1132.8
"045a";0.52;1081.9;953.1;1210.9;1039.1;1085.9;1125
"552";0.48;1010.2;812.5;1703.1;960.9;1015.6;1070.3
"552";0.52;992.4;648.4;1835.9;875;968.8;1093.8
"552";0.512;1007.9;523.4;1742.2;882.8;1000;1070.3
"552";0.472;995.8;546.9;1062.5;898.4;976.6;1031.3
"552";0.472;1061;804.7;1750;968.8;1023.4;1078.1
"552";0.416;580.6;500;1484.4;585.9;890.6;1085.9
"552";0.416;1003.7;804.7;1750;960.9;1015.6;1054.7
"552";0.448;1002.9;539.1;1750;921.9;1000;1046.9
"552";0.4;1003.7;828.1;1742.2;960.9;1015.6;1070.3
"552";0.448;1010.7;812.5;1750;968.8;1023.4;1070.3
"055a";0.664;1076.9;937.5;1195.3;1015.6;1070.3;1125
"055a";0.656;1071.6;937.5;1218.8;1023.4;1078.1;1125
"055a";0.624;1116.5;906.3;1554.7;1031.3;1101.6;1164.1
"055a";0.632;1071.5;890.6;1289.1;1007.8;1078.1;1140.6
"055a";0.624;1062.5;898.4;1250;1023.4;1085.9;1140.6
"055a";0.704;1054.6;781.3;1546.9;1007.8;1062.5;1125
"055a";0.624;1105.7;960.9;1234.4;1046.9;1109.4;1148.4
"055a";0.64;1086.8;953.1;1546.9;1039.1;1093.8;1140.6
"055a";0.632;1071;929.7;1203.1;1015.6;1078.1;1125
"055a";0.624;1072.5;921.9;1562.5;1023.4;1085.9;1140.6
"062a";0.688;1211.3;890.6;1867.2;1093.8;1210.9;1312.5
