"id";"s1f2";"s1f3";"s1f4";"s1f5"
"2";2668;4034;5424;6419
"2";2660;4060;5435;6416
"2";2669;4136;5532;6409
"2";2661;4103;5505;6386
"2";2657;4046;5459;6434
"2";2681;4103;5478;6434
"2";2663;4083;5491;6415
"2";2685;4089;5454;6416
"2";2677;4074;5452;6425
"2";2656;4137;5522;6416
"48";2251;4009;5503;6450
"48";2242;3961;5536;6464
"48";2247;3965;5523;6444
"48";2249;4005;5536;6427
"48";2241;3988;5549;6440
"48";2232;4027;5555;6399
"48";2268;4012;5459;6382
"48";2251;3981;5441;6405
"48";2233;4040;5507;6416
"48";2240;3987;5520;6440
"56";1976;2996;3875;5620
"56";2024;2902;3863;5620
"56";1978;2958;3849;5624
"56";2051;2952;3846;5638
"56";2096;3046;3858;5618
"56";2086;3093;3873;5629
"56";2110;3140;3899;5645
"56";2085;3055;3916;5668
"56";2066;3120;3875;5654
"56";2067;3078;3844;5662
"59";1968;3100;4748;5682
"59";1981;3113;4750;5673
"59";1981;3129;4758;5705
"59";1979;3111;4762;5732
"59";1980;3126;4728;5709
"59";1984;3127;4759;5748
"59";1978;3127;4749;5746
"59";1975;3110;4714;5654
"59";1974;3122;4765;5686
"59";1983;3123;4765;5713
"64";1981;2950;4783;5878
"64";1981;2987;4769;5857
"64";1956;2946;4739;5875
"64";1951;2929;4759;5863
"64";1980;2971;4745;5883
"64";1971;2969;4722;5866
"64";1961;2944;4734;5870
"64";1954;2949;4761;5876
"64";1960;2974;4745;5869
"64";1958;2959;4741;5880
"74";1996;3676;4808;6076
"74";2035;3721;4887;6067
"74";2023;3709;4979;6066
"74";2018;3701;4946;6068
"74";1974;3694;4803;6065
"74";2006;3734;4860;6057
"74";2012;3725;4847;6070
"74";2021;3703;4866;6080
"74";2009;3681;4820;6062
"74";1988;3687;4756;6105
"76";2126;3217;4812;5978
"76";2135;3203;4822;5968
"76";2124;3221;4818;5979
"76";2141;3180;4851;5961
"76";2129;3252;4823;5940
"76";2135;3251;4796;5920
"76";2127;3193;4823;5946
"76";2138;3232;4812;5914
"76";2126;3230;4797;5875
"76";2134;3216;4822;5924
"77";1979;3923;4802;5769
"77";1997;3943;4681;5842
"77";1950;3940;4616;5780
"77";1994;3899;4698;5801
"77";2004;3918;4771;5781
"77";1947;3898;4650;5793
"77";1938;3928;4735;5759
"77";1970;3928;4774;5846
"77";1960;3920;4704;5815
"77";1994;3891;4704;5838
"86";2548;3983;5434;6241
"86";2450;3829;5413;6216
"86";2467;3750;5431;6247
"86";2458;3812;5422;6277
"86";2452;3803;5392;6239
"86";2437;3880;5420;6367
"86";2440;3948;5441;6290
"86";2449;3940;5458;6307
"86";2454;3866;5386;6178
"86";2458;3924;5495;6307
"94";2771;4156;5379;6668
"94";2764;4149;5371;6718
"94";2777;4215;5455;6733
"94";2798;4197;5409;6680
"94";2764;4176;5429;6728
"94";2774;4189;5399;6727
"94";2789;4192;5382;6703
"94";2784;4204;5400;6695
"94";2740;4180;5387;6728
"94";2732;4152;5389;6708
"96";2240;3503;4500;5637
"96";2254;3505;4531;5647
"96";2237;3489;4533;5609
"96";2225;3467;4576;5622
"96";2227;3465;4624;5652
"96";2221;3456;4568;5663
"96";2256;3513;4554;5619
"96";2237;3484;4581;5650
"96";2241;3473;4586;5626
"96";2251;3477;4577;5620
"223";2149;4530;5611;6928
"223";2164;4475;5589;7069
"223";2161;4479;5594;7027
"223";2169;4523;5611;6863
"223";2166;4556;5621;6870
"223";2166;4476;5571;6787
"223";2166;4504;5592;6867
"223";2161;4491;5600;6852
"223";2159;4512;5589;6810
"223";2160;4536;5585;6820
"224";2196;3156;4726;5929
"224";2146;3171;4750;5941
"224";2156;3104;4774;5933
"224";2128;3153;4743;5920
"224";2207;3154;4768;5916
"224";2195;3117;4796;5935
"224";2188;3147;4761;5975
"224";2189;3145;4776;5950
"224";2131;3131;4798;5944
"224";2241;3118;4724;5939
"225";2359;3408;4919;5976
"225";2376;3403;4929;5984
"225";2397;3648;4997;6018
"225";2364;3422;4964;6013
"225";2356;3447;4941;5982
"225";2372;3538;4997;6015
"225";2349;3361;4920;5975
"225";2408;3426;4959;5996
"225";2374;3504;4978;6012
"225";2361;3402;4959;6037
"230";2312;4281;5671;6546
"230";2303;4197;5672;6527
"230";2382;4596;5787;6780
"230";2396;4491;5832;6861
"230";2360;4477;5421;6794
"230";2338;4553;5573;6667
"230";2360;4438;5434;6744
"230";2349;4502;5515;6808
"230";2367;4343;5532;6666
"230";2300;4616;5473;6741
"272";2414;4419;5878;7015
"272";2386;4414;5773;6988
"272";2386;4441;5626;6922
"272";2395;4398;5803;7040
"272";2379;4356;5749;6996
"272";2431;4446;5766;7096
"272";2399;4451;5507;6963
"272";2418;4428;5906;7120
"272";2409;4470;5759;7002
"272";2419;4518;5790;7058
"276";2408;4032;5351;6634
"276";2405;4065;5381;6714
"276";2330;4012;5404;6723
"276";2403;4010;5313;6715
"276";2362;3951;5379;6712
"276";2424;4119;5465;6758
"276";2387;4068;5516;6688
"276";2383;4025;5397;6671
"276";2384;4074;5420;6761
"276";2428;4067;5370;6725
"277";2352;3940;5669;6992
"277";2378;3920;5725;6964
"277";2365;3942;5694;6962
"277";2389;3999;5754;6947
"277";2348;3955;5700;6969
"277";2368;3916;5803;6951
"277";2381;3951;5822;6917
"277";2367;3957;5817;6957
"277";2354;3895;5800;6980
"277";2372;3933;5804;6956
"278";2596;4363;5954;7114
"278";2616;4332;5996;7016
"278";2596;4306;5956;6691
"278";2615;4428;6012;7170
"278";2637;4265;5996;6959
"278";2629;4361;5991;6990
"278";2624;4265;6024;6862
"278";2671;4240;5934;6826
"278";2634;4288;5984;6791
"278";2673;4255;5934;6821
"104";2173;4252;5731;6581
"104";2192;4167;5591;6939
"104";2214;4081;5588;6941
"104";2209;4120;5615;6940
"104";2212;4082;5590;6951
"104";2201;4132;5574;6960
"104";2198;4090;5565;6964
"104";2206;4087;5600;6996
"104";2204;4114;5597;6940
"104";2199;4080;5581;6922
"113";2029;3127;4093;5319
"113";2064;3129;4078;5325
"113";1991;3125;4121;5327
"113";2077;3101;4047;5331
"113";2072;3095;4069;5345
"113";2114;3097;4082;5377
"113";2062;3098;4082;5319
"113";2075;3125;4080;5336
"113";2078;3152;4063;5331
"113";2097;3124;4115;5323
"117";2322;3395;5900;6995
"117";2294;3353;5955;6948
"117";2357;3386;5979;7028
"117";2272;3303;5922;7049
"117";2327;3322;5903;7009
"117";2293;3259;5989;7098
"117";2361;3435;5997;6922
"117";2380;3438;6026;6970
"117";2295;3463;6085;7004
"117";2298;3398;6054;7070
"121";2194;3342;4697;5762
"121";2151;3309;4671;5743
"121";2165;3323;4707;5762
"121";2158;3371;4687;5759
"121";2223;3370;4699;5740
"121";2243;3282;4712;5755
"121";2227;3329;4697;5755
"121";2201;3302;4703;5756
"121";2211;3260;4679;5743
"121";2151;3300;4668;5741
"124";1685;2917;4379;5652
"124";1739;2907;4364;5662
"124";1702;2912;4355;5671
"124";1681;2902;4354;5667
"124";1651;2903;4357;5653
"124";1699;2923;4375;5652
"124";1741;2936;4402;5662
"124";1704;2911;4345;5642
"124";1680;2896;4329;5658
"124";1667;2916;4372;5657
"125";2044;3265;4849;5962
"125";2038;3229;4877;5932
"125";2010;3250;4874;5950
"125";2064;3237;4858;5931
"125";2044;3223;4888;5943
"125";2037;3237;4852;5980
"125";2027;3244;4860;5977
"125";2023;3241;4877;5984
"125";2046;3226;4876;5992
"125";2041;3236;4883;5994
"126";2181;3344;4740;6107
"126";2165;3356;4744;6091
"126";2195;3376;4747;6073
"126";2183;3348;4726;6099
"126";2180;3315;4767;6104
"126";2167;3311;4754;6085
"126";2165;3333;4754;6134
"126";2165;3313;4748;6124
"126";2180;3307;4760;6120
"126";2152;3333;4747;6104
"141";2111;3034;4600;5965
"141";2164;3078;4670;6090
"141";2124;3110;4632;6087
"141";2137;3122;4638;6068
"141";2135;3164;4685;6169
"141";2112;3124;4705;6090
"141";2132;3172;4767;6189
"141";2131;3164;4649;6130
"141";2114;3118;4670;6097
"141";2111;3133;4753;6080
"142";1965;3415;4498;5716
"142";1950;3391;4470;5712
"142";1987;3421;4476;5724
"142";2003;3392;4480;5699
"142";1950;3419;4463;5704
"142";1960;3434;4484;5729
"142";1975;3449;4443;5726
"142";1948;3450;4449;5718
"142";1951;3480;4423;5742
"142";1953;3456;4429;5717
"241";1820;3336;4444;5811
"241";1791;3324;4425;5816
"241";1789;3295;4418;5822
"241";1790;3296;4420;5831
"241";1796;3289;4434;5825
"241";1811;3286;4426;5841
"241";1827;3330;4455;5852
"241";1849;3359;4450;5780
"241";1848;3328;4455;5828
"241";1848;3332;4457;5832
"248";1947;3004;4653;5723
"248";1945;3020;4633;5712
"248";1938;3012;4656;5722
"248";1930;3026;4637;5727
"248";1921;3002;4605;5699
"248";1916;3063;4566;5681
"248";1920;3037;4588;5729
"248";1929;3018;4631;5747
"248";1937;3066;4599;5697
"248";1920;3052;4576;5697
"253";2161;4037;4934;5911
"253";2168;4035;5004;5985
"253";2166;4025;5010;6021
"253";2178;3962;4808;5957
"253";2170;3945;4778;5910
"253";2162;4021;4924;5933
"253";2215;4013;5247;6247
"253";2277;3974;5158;6239
"253";2265;3892;5107;6238
"253";2239;3848;5144;6279
"254";1935;3056;4318;5476
"254";1957;3079;4346;5496
"254";1932;3100;4328;5508
"254";1991;3074;4320;5501
"254";1902;3037;4322;5512
"254";1965;3100;4331;5501
"254";1988;3078;4327;5509
"254";1947;3059;4320;5505
"254";1976;3056;4332;5503
"254";1971;3095;4332;5506
"261";2373;4092;5687;6906
"261";2375;4075;5733;6935
"261";2397;4021;5640;6841
"261";2363;4075;5658;6905
"261";2371;4031;5637;6852
"261";2422;3991;5643;6911
"261";2407;4033;5661;6921
"261";2329;4042;5625;6855
"261";2347;4046;5628;6831
"261";2355;4031;5675;6887
