"id";"q25";"q50";"q75";"fma";"minf";"maxf";"SYL1"
"2";3504;4963;5878;5501;1022;6944;0.173
"2";3488;4982;5897;5396;1028;7485;0.184
"2";3523;5162;5937;5485;1754;6912;0.183
"2";3480;5001;5873;5577;1033;7272;0.183
"2";3477;5014;5883;5552;982;7428;0.182
"2";3544;5143;5975;2939;1036;7415;0.183
"2";3477;5006;5910;5466;982;7447;0.183
"2";3499;4984;5873;5490;1006;7428;0.171
"2";3456;4974;5900;5485;1065;7423;0.176
"2";3491;5014;5921;5507;966;11027;0.185
"48";3862;5227;6255;5733;1052;7146;0.206
"48";3792;5192;6217;5735;1030;7924;0.194
"48";3857;5219;6319;5770;1030;7154;0.193
"48";3784;5057;6128;5776;987;7157;0.187
"48";3849;5243;6220;5727;982;7138;0.207
"48";3746;5068;6150;5795;1041;7100;0.208
"48";3857;5106;6136;5816;974;7956;0.186
"48";3846;5202;6319;5727;1065;7143;0.196
"48";3900;5289;6322;5859;987;7167;0.208
"48";3843;5184;6212;5770;995;7122;0.195
"56";3477;4521;5851;5560;995;6605;0.168
"56";3423;4527;5846;5641;1044;6443;0.169
"56";3477;4678;5900;5717;1028;6406;0.169
"56";3517;4974;5924;5770;979;6559;0.177
"56";3606;5270;6042;5687;1025;6543;0.18
"56";3561;5033;6037;5741;1135;6694;0.177
"56";3590;5033;6007;5733;1044;6508;0.167
"56";3606;5033;6018;5819;1119;6707;0.173
"56";3534;4990;6040;5727;1079;6710;0.178
"56";3552;5097;6064;5784;955;10166;0.177
"63";3154;4941;5953;5001;982;7458;0.176
"63";3213;4928;5951;5630;1076;7431;0.174
"63";3216;4944;5962;5644;1049;7488;0.177
"63";3173;4960;5975;5612;1092;7299;0.181
"63";3203;4995;6005;5011;1071;7318;0.183
"63";3194;4933;5929;6904;990;7469;0.185
"63";3170;4941;5948;5606;1049;7485;0.176
"63";3232;4995;6005;5690;1028;7512;0.183
"63";3192;4941;5945;5970;1076;7477;0.185
"63";3184;4925;5948;5593;1065;7332;0.176
