"id";"dur";"lfreq";"hfreq";"bandw";"q1";"q3";"pf"
"id30";0.268;1167.3;3196.4;2029.1;1875;2437.5;2156.2
"id30";0.278;1167.3;3141.8;1974.5;1875;2625;1921.9
"id30";0.286;1167.3;3098.2;1930.9;1687.5;2250;1687.5
"id43";0.34;1168;3220.6;2052.6;2062.5;2812.5;2296.9
"id43";0.34;1150.8;3246.4;2095.6;2062.5;2812.5;2250
"id43";0.345;1176.6;3246.4;2069.8;2062.5;2812.5;2250
"id43";0.341;1185.2;3212;2026.8;2062.5;2812.5;2812.5
"id43";0.35;1193.8;3220.6;2026.8;2062.5;2812.5;2859.4
"id43";0.339;1211;3237.8;2026.8;1875;2625;2671.9
"id43";0.312;1203.4;3116.4;1913;1500;2437.5;1687.5
"id61";0.304;1141.9;3192.4;2050.5;1875;2625;1828.1
"id61";0.293;1191.9;3167.4;1975.5;1875;2625;1687.5
"id61";0.29;1216.9;3175.7;1958.8;1875;2437.5;1734.4
"id61";0.292;1233.6;3167.4;1933.8;1875;2625;1875
"id61";0.289;1250.3;3184.1;1933.8;1875;2625;1921.9
"id61";0.285;1216.9;3167.4;1950.5;1875;2625;2109.4
"id61";0.279;1183.6;3167.4;1983.8;1875;2812.5;1781.2
"id61";0.286;1292;3209.1;1917.1;1875;2812.5;2109.4
"id61";0.282;1275.3;3167.4;1892.1;1875;2812.5;1781.2
"id61";0.295;1200.3;3234.1;2033.8;1875;2625;1546.9
"id30";0.312;1207.5;3200.6;1993.1;1687.5;2437.5;2109.4
"id30";0.306;1215.7;3184;1968.3;1687.5;2437.5;2156.2
"id30";0.314;1265.3;3192.3;1927;1687.5;2437.5;1546.9
"id30";0.314;1157.8;3117.9;1960.1;1687.5;2437.5;2015.6
"id30";0.304;1232.3;3068.3;1836;1875;2437.5;2109.4
"id30";0.302;1199.2;3126.2;1927;1687.5;2625;1921.9
"id30";0.307;1281.9;3126.2;1844.3;1875;2625;2015.6
"id32";0.316;1249.8;3206.6;1956.8;2062.5;2812.5;2906.2
"id32";0.32;1249.8;3132.6;1882.8;2062.5;2812.5;2953.1
"id32";0.32;1274.4;3124.4;1850;2062.5;2812.5;2906.2
"id32";0.326;1216.9;3091.5;1874.6;2062.5;2812.5;3000
"id32";0.329;1216.9;3083.3;1866.4;2062.5;2812.5;2906.2
"id32";0.322;1233.3;3083.3;1850;2062.5;2812.5;2859.4
"id32";0.325;1175.8;3083.3;1907.5;2062.5;2812.5;2953.1
"id32";0.321;1192.2;3075.1;1882.9;2062.5;2812.5;2859.4
"id43";0.302;1222.5;3128;1905.5;1875;2625;1359.4
"id43";0.314;1285.4;3056.1;1770.7;1875;2437.5;1453.1
"id43";0.301;1240.4;3092.1;1851.7;1875;2625;1734.4
"id54";0.332;1150.7;3101.9;1951.2;1687.5;2437.5;1593.8
"id54";0.338;1160.7;3091.9;1931.2;1875;2625;1312.5
