"id";"fp1amean";"q1mean";"csmean";"tonalF0";"q3mean";"noise";"ranmean";"q2mean";"df2pr";"q2min"
"120_3";760;149;0.808;63;535;10;1083;265;2;173
"120_3";1219;151;0.83;79;525;5;1115;283;4;173
"120_3";871;135;0.77;71;487;12;1075;235;0;173
"120_3";407;161;0.86;15;555;50;1306;346;3;259
"120_3";734;151;0.779;82;590;6;1067;276;12;173
"120_3";818;163;0.792;66;787;15;1119;321;4;173
"120_3";736;131;0.75;89;474;1;965;217;0;129
"120_3";745;138;0.811;67;450;9;1066;234;0;173
"120_3";666;130;0.768;83;507;3;962;197;1;173
"120_3";848;136;0.786;91;515;1;1056;229;1;173
"120_6";1715;238;0.926;41;507;17;1242;377;9;173
"120_6";2087;149;0.87;35;441;25;1218;334;2;216
"120_6";1281;154;0.854;54;439;15;1178;309;1;173
"120_6";2498;193;0.892;22;479;33;1223;363;6;216
"120_6";1200;210;0.923;9;449;37;1258;358;9;216
"120_6";910;200;0.923;34;436;19;1168;349;0;173
"120_6";1914;166;0.85;36;437;28;1160;294;5;173
"120_6";1524;163;0.884;34;432;25;1214;331;1;173
"120_6";1838;150;0.844;49;451;21;1185;321;3;173
"120_6";806;136;0.815;58;411;12;1112;262;0;173
"83_5";1329;130;0.73;96;380;0;936;178;0;173
"83_5";1014;130;0.727;88;416;3;986;195;0;129
"83_5";1323;143;0.808;77;504;6;1134;341;6;173
"83_5";1468;130;0.762;79;344;2;1007;196;1;173
"83_5";368;135;0.776;84;729;3;1013;273;0;173
"83_5";1009;140;0.762;88;447;7;1034;249;1;173
"83_5";1310;131;0.727;76;310;6;951;183;0;129
"83_5";860;136;0.788;53;452;17;1134;261;3;173
"83_5";642;129;0.73;53;482;14;1089;219;1;129
"83_5";470;137;0.76;74;482;6;1057;257;1;173
"83_6";1251;137;0.777;91;695;3;1087;261;5;173
"83_6";911;132;0.752;96;520;0;1035;222;0;173
"83_6";866;131;0.723;98;526;0;923;182;0;173
"83_6";1184;136;0.784;87;539;6;1063;247;1;173
"83_6";1114;135;0.773;93;475;2;983;203;0;173
"83_6";818;141;0.764;87;585;3;978;217;3;173
"83_6";1068;151;0.821;94;498;1;984;217;0;173
"83_6";859;159;0.851;77;441;4;985;230;0;173
"83_6";991;134;0.761;86;434;1;960;210;1;173
"83_6";983;150;0.828;92;447;1;974;208;0;173
"83_7";449;130;0.77;92;482;1;1014;254;0;173
"83_7";466;130;0.757;97;475;1;925;196;0;129
"83_7";554;133;0.733;92;512;4;959;211;2;173
"83_7";797;141;0.773;86;556;4;1062;284;0;173
"83_7";1013;132;0.736;98;463;0;900;188;0;173
"83_7";1274;133;0.758;97;512;0;963;209;0;173
"83_7";1040;173;0.842;76;662;5;1089;323;1;173
"83_7";531;137;0.755;87;571;4;984;213;3;173
"83_7";434;133;0.738;100;521;0;961;240;5;173
"83_7";567;132;0.739;99;383;0;903;184;0;173
"50_8";62;165;0.891;86;399;0;1056;238;0;173
"50_8";57;182;0.931;80;424;1;1142;310;3;216
"50_8";58;163;0.874;96;466;0;1096;249;1;173
"50_8";62;166;0.885;91;420;0;1090;266;0;173
"50_8";35;137;0.819;99;442;0;927;204;0;173
"50_8";55;163;0.879;97;468;0;1085;282;0;173
"50_8";47;158;0.852;99;423;0;950;216;0;173
"50_8";40;146;0.833;99;430;1;913;206;0;173
"50_8";48;153;0.862;98;363;0;926;207;0;173
"50_8";57;173;0.886;94;468;0;997;253;0;216
"50_11";47;151;0.848;83;546;0;1088;274;2;173
"50_11";54;169;0.849;95;608;0;1131;364;2;259
"50_11";54;165;0.886;93;461;0;1117;322;0;216
"50_11";63;161;0.857;96;511;0;1131;311;3;216
"50_11";46;148;0.844;94;436;0;952;212;0;173
"50_11";50;159;0.827;98;614;0;1069;327;0;173
"50_11";69;160;0.866;99;432;0;1104;279;1;173
"50_11";52;149;0.834;92;538;0;990;225;1;173
"50_11";56;182;0.902;89;484;0;1175;366;6;216
"50_11";33;137;0.812;96;423;0;883;190;0;173
"52_1";154;140;0.826;97;410;0;1058;235;0;173
"52_1";93;132;0.797;91;517;2;1054;225;4;173
"52_1";167;158;0.855;86;509;4;1152;330;1;173
"52_1";160;203;0.911;66;502;6;1238;394;4;259
"52_1";186;143;0.832;97;523;0;1115;271;8;173
"52_1";224;153;0.852;94;481;0;1113;272;9;173
"52_1";168;131;0.807;99;458;0;973;199;0;173
"52_1";159;140;0.827;99;474;0;1068;257;5;173
"52_1";157;133;0.806;95;426;0;1013;205;0;173
"52_1";158;146;0.859;95;468;0;1165;339;4;173
"52_4";164;157;0.824;80;776;0;1216;335;7;129
"52_4";169;151;0.808;93;746;0;1114;311;10;173
"52_4";148;137;0.793;98;595;0;1103;285;11;173
"52_4";129;143;0.808;99;593;0;1182;320;21;173
"52_4";165;146;0.837;91;529;0;1180;268;5;173
"52_4";114;133;0.769;99;446;0;1000;217;2;129
"52_4";160;153;0.816;76;651;5;1221;327;4;173
"52_4";221;160;0.853;98;479;0;1149;326;3;173
"52_4";126;131;0.772;97;596;0;1022;209;4;173
"52_4";238;200;0.865;76;724;5;1350;407;26;216
"52_6";495;174;0.815;85;1411;2;1235;560;32;129
"52_6";309;133;0.775;97;863;0;965;254;9;173
"52_6";328;124;0.724;98;387;0;947;192;0;129
"52_6";284;126;0.704;97;425;2;894;183;1;129
"52_6";247;129;0.754;94;609;1;1008;239;1;129
"52_6";341;151;0.791;95;781;1;1155;363;30;173
"52_6";305;136;0.781;97;638;1;1138;312;15;173
"52_6";339;144;0.787;89;732;2;1207;320;5;129
"52_6";371;135;0.805;92;456;0;1081;277;0;173
"52_6";295;131;0.732;94;629;1;965;259;5;173
"66_1";2789;140;0.789;91;727;2;990;225;3;173
"66_1";2183;168;0.867;67;454;11;1170;292;12;173
"66_1";1554;137;0.814;90;563;1;1118;280;9;173
"66_1";1535;154;0.847;85;441;1;1058;239;1;173
"66_1";1632;151;0.836;93;647;1;1105;330;7;173
"66_1";1948;144;0.825;90;510;3;1161;325;5;173
"66_1";1813;137;0.782;87;610;6;1074;252;6;173
"66_1";1287;135;0.816;76;476;10;1065;239;2;173
"66_1";1406;171;0.898;66;454;7;1157;323;7;173
"66_1";718;131;0.763;88;399;3;982;189;0;129
"66_12";241;176;0.888;79;603;1;1314;331;9;173
"66_12";284;151;0.825;91;660;0;1292;296;17;173
