"pair";"df";"dfres";"F";"p";"sigTukeys";"firstsigTukey";"lastsigTukey"
"DS X Individuality";"4";"99995";"65999.54";"0";"all sig";"  1-0.01";"  10-5"
"DS X Variables";"4";"99995";"1220.27";"0";"all sig";"  4-2";"  10-8"
"DS X Covariance";"4";"99995";"2402.38";"0";"  0.5-0.25  0.75-0.5  1-0.75";"  0.5-0.25";"  1-0.75"
"DS X Individuals";"7";"99992";"521.6";"0";"  10-5  15-10  20-15  25-20  30-25  35-30";"  10-5";"  35-30"
"DS X Observations";"4";"99995";"39.39";"0";"  8-4";"  8-4";"  8-4"
"HS X Individuality";"4";"99995";"29269.42";"0";"all sig";"  1-0.01";"  10-5"
"HS X Variables";"4";"99995";"3691.98";"0";"all sig";"  4-2";"  10-8"
"HS X Covariance";"4";"99995";"2528.13";"0";"all sig";"  0.25-0";"  1-0.75"
"HS X Individuals";"7";"99992";"108.74";"0";"  10-5  15-10";"  10-5";"  15-10"
"HS X Observations";"4";"99995";"0.01";"1";"  ";"no sig";"no sig"
"MI X Individuality";"4";"99995";"35939.65";"0";"all sig";"  1-0.01";"  10-5"
"MI X Variables";"4";"99995";"1037.63";"0";"all sig";"  4-2";"  10-8"
"MI X Covariance";"4";"99995";"1041.57";"0";"  0.5-0.25  0.75-0.5  1-0.75";"  0.5-0.25";"  1-0.75"
"MI X Individuals";"7";"99992";"4048.28";"0";"all sig";"  10-5";"  40-35"
"MI X Observations";"4";"99995";"452.06";"0";"all sig";"  8-4";"  20-16"
"HM X Individuality";"4";"99995";"18326407.74";"0";"all sig";"  1-0.01";"  10-5"
"HM X Variables";"4";"99995";"0.01";"1";"  ";"no sig";"no sig"
"HM X Covariance";"4";"99995";"0";"1";"  ";"no sig";"no sig"
"HM X Individuals";"7";"99992";"0.01";"1";"  ";"no sig";"no sig"
"HM X Observations";"4";"99995";"0.01";"1";"  ";"no sig";"no sig"
