"pair";"df";"dfres";"F";"p";"sigTukeys";"firstsigTukey";"lastsigTukey"
"Fvalue X Individuality";"4";"3995";"2960.72";"0";"  2.5-1  5-2.5  10-5";"  2.5-1";"  10-5"
"Fvalue X Individuals";"7";"3992";"0.05";"1";"  ";"no sig";"no sig"
"Fvalue X Observations";"4";"3995";"84.19";"0";"all sig";"  8-4";"  20-16"
"PICbwtotal X Individuality";"4";"3995";"64315.55";"0";"all sig";"  1-0.01";"  10-5"
"PICbwtotal X Individuals";"7";"3992";"0.35";"0.93";"  ";"no sig";"no sig"
"PICbwtotal X Observations";"4";"3995";"1.25";"0.29";"  ";"no sig";"no sig"
"PICbwmeans X Individuality";"4";"3995";"72200.28";"0";"all sig";"  1-0.01";"  10-5"
"PICbwmeans X Individuals";"7";"3992";"0.02";"1";"  ";"no sig";"no sig"
"PICbwmeans X Observations";"4";"3995";"1.45";"0.21";"  ";"no sig";"no sig"
"HSngroups X Individuality";"4";"3995";"5352.34";"0";"all sig";"  1-0.01";"  10-5"
"HSngroups X Individuals";"7";"3992";"41.52";"0";"  10-5";"  10-5";"  10-5"
"HSngroups X Observations";"4";"3995";"44.75";"0";"  8-4  12-8";"  8-4";"  12-8"
"HSntot X Individuality";"4";"3995";"4125.84";"0";"all sig";"  1-0.01";"  10-5"
"HSntot X Individuals";"7";"3992";"67.17";"0";"  10-5  15-10";"  10-5";"  15-10"
"HSntot X Observations";"4";"3995";"0.01";"1";"  ";"no sig";"no sig"
"HSnpergroup X Individuality";"4";"3995";"185862.31";"0";"all sig";"  1-0.01";"  10-5"
"HSnpergroup X Individuals";"7";"3992";"0.01";"1";"  ";"no sig";"no sig"
"HSnpergroup X Observations";"4";"3995";"0";"1";"  ";"no sig";"no sig"
"HSvarcomp X Individuality";"4";"3995";"188980.9";"0";"all sig";"  1-0.01";"  10-5"
"HSvarcomp X Individuals";"7";"3992";"0.01";"1";"  ";"no sig";"no sig"
"HSvarcomp X Observations";"4";"3995";"0.01";"1";"  ";"no sig";"no sig"
